Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO204-238_WT_1.2-9_20210701,J13,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.47925069,23.33939641,7.14,,,,-0.15,-0.06,1.04
ASO204-238_WT_1.2-9_20210701,J14,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.78000628,23.39236227,7.39,,,,0.10,,
ASO204-238_WT_1.2-9_20210701,J15,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.64839218,23.49397346,7.15,,,,-0.13,,
ASO204-238_WT_1.2-9_20210701,J16,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,31.80508249,24.10839435,7.70,,,,0.41,0.54,0.69
ASO204-238_WT_1.2-9_20210701,J17,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,32.11306419,24.07157902,8.04,,,,0.76,,
ASO204-238_WT_1.2-9_20210701,J18,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,31.94405738,24.19176902,7.75,,,,0.47,,
ASO204-238_WT_1.2-9_20210701,J19,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.47821722,23.49695802,6.98,,,,-0.30,-0.28,1.21
ASO204-238_WT_1.2-9_20210701,J20,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.51424786,23.43838586,7.08,,,,-0.21,,
ASO204-238_WT_1.2-9_20210701,J21,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.55762937,23.59921708,6.96,,,,-0.33,,
ASO204-238_WT_1.2-9_20210701,J22,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.48809898,23.2142498,7.27,,,,-0.01,-0.12,1.09
ASO204-238_WT_1.2-9_20210701,J23,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.35223609,23.2187921,7.13,,,,-0.15,,
ASO204-238_WT_1.2-9_20210701,J24,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.40983483,23.32181942,7.09,,,,-0.20,,
ASO204-238_WT_1.2-9_20210701,K1,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,32.36685272,25.15099258,7.22,,,,-0.07,0.02,0.98
ASO204-238_WT_1.2-9_20210701,K2,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,32.38441499,25.08425892,7.30,,,,0.01,,
ASO204-238_WT_1.2-9_20210701,K3,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,32.5490465,25.13648391,7.41,,,,0.13,,
ASO204-238_WT_1.2-9_20210701,K4,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,31.56100825,24.07035702,7.49,,,,0.20,0.15,0.90
ASO204-238_WT_1.2-9_20210701,K5,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,31.27518838,24.00371,7.27,,,,-0.01,,
ASO204-238_WT_1.2-9_20210701,K6,ASO209_10,KQ347_L20_5-10-5_10uM_P1.2-8,31.57759297,24.03579052,7.54,,,,0.26,,
ASO204-238_WT_1.2-9_20210701,K7,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.7601267,23.56391929,7.20,,,,-0.09,-0.01,1.00
ASO204-238_WT_1.2-9_20210701,K8,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.71571747,23.32483827,7.39,,,,0.10,,
ASO204-238_WT_1.2-9_20210701,K9,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.68691566,23.43247751,7.25,,,,-0.03,,
ASO204-238_WT_1.2-9_20210701,K10,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.90433916,23.65042758,7.25,,,,-0.03,-0.15,1.11
ASO204-238_WT_1.2-9_20210701,K11,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.67706385,23.69193798,6.99,,,,-0.30,,
ASO204-238_WT_1.2-9_20210701,K12,ASO209_3,KQ347_L20_5-10-5_3uM_P1.2-8,30.90125272,23.72404154,7.18,,,,-0.11,,
ASO204-238_WT_1.2-9_20210701,K13,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,32.02908302,24.54535919,7.48,,,,0.20,0.14,0.91
ASO204-238_WT_1.2-9_20210701,K14,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,32.0271969,24.55234851,7.47,,,,0.19,,
ASO204-238_WT_1.2-9_20210701,K15,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,31.95687289,24.63471481,7.32,,,,0.04,,
ASO204-238_WT_1.2-9_20210701,K16,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,32.5735919,25.42900442,7.14,,,,-0.14,-0.25,1.19
ASO204-238_WT_1.2-9_20210701,K17,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,32.32296025,25.50813883,6.81,,,,-0.47,,
ASO204-238_WT_1.2-9_20210701,K18,ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,32.68120978,25.52995582,7.15,,,,-0.13,,
