Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_MT_1.2-6_20210630,J3,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,32.81,26.86,5.95,,,,-2.16,,
ASO1-95_MT_1.2-6_20210630,J4,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.39,25.91,7.48,,,,-0.63,-0.73,1.66
ASO1-95_MT_1.2-6_20210630,J5,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.29,25.97,7.32,,,,-0.79,,
ASO1-95_MT_1.2-6_20210630,J6,ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,33.35,26.02,7.33,,,,-0.78,,
ASO1-95_MT_1.2-6_20210630,J7,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.59,23.74,8.84,,,,0.74,0.44,0.74
ASO1-95_MT_1.2-6_20210630,J8,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.07,23.76,8.32,,,,0.21,,
ASO1-95_MT_1.2-6_20210630,J9,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,32.29,23.80,8.49,,,,0.38,,
ASO1-95_MT_1.2-6_20210630,J10,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.78,23.82,7.96,,,,-0.15,-0.32,1.25
ASO1-95_MT_1.2-6_20210630,J11,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.50,23.83,7.66,,,,-0.44,,
ASO1-95_MT_1.2-6_20210630,J12,ASO23_3,KQ391_L20_5-10-5_3uM_P1.2-2,31.59,23.86,7.73,,,,-0.38,,
ASO1-95_MT_1.2-6_20210630,J13,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,33.97,26.08,7.90,,,,-0.21,-0.16,1.12
ASO1-95_MT_1.2-6_20210630,J14,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.13,26.10,8.03,,,,-0.07,,
ASO1-95_MT_1.2-6_20210630,J15,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.08,26.17,7.91,,,,-0.20,,
ASO1-95_MT_1.2-6_20210630,J16,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,35.31,27.03,8.28,,,,0.18,-0.15,1.11
ASO1-95_MT_1.2-6_20210630,J17,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.77,26.95,7.82,,,,-0.29,,
ASO1-95_MT_1.2-6_20210630,J18,ASO59_10,KQ979_L20_5-10-5_10uM_P1.2-2,34.91,27.15,7.76,,,,-0.35,,
ASO1-95_MT_1.2-6_20210630,J19,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.53,25.67,7.86,,,,-0.24,0.24,0.85
ASO1-95_MT_1.2-6_20210630,J20,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,34.47,25.69,8.79,,,,0.68,,
ASO1-95_MT_1.2-6_20210630,J21,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,34.18,25.78,8.39,,,,0.29,,
ASO1-95_MT_1.2-6_20210630,J22,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.82,26.15,7.67,,,,-0.43,-0.62,1.53
ASO1-95_MT_1.2-6_20210630,J23,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.69,26.21,7.48,,,,-0.63,,
ASO1-95_MT_1.2-6_20210630,J24,ASO59_3,KQ979_L20_5-10-5_3uM_P1.2-2,33.54,26.23,7.31,,,,-0.79,,
ASO1-95_MT_1.2-6_20210630,K1,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.72,26.27,7.45,,,,-0.66,-0.51,1.42
ASO1-95_MT_1.2-6_20210630,K2,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.88,26.28,7.60,,,,-0.51,,
ASO1-95_MT_1.2-6_20210630,K3,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.01,26.25,7.76,,,,-0.35,,
ASO1-95_MT_1.2-6_20210630,K4,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.17,25.69,8.47,,,,0.37,0.45,0.73
ASO1-95_MT_1.2-6_20210630,K5,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,33.85,25.72,8.13,,,,0.03,,
ASO1-95_MT_1.2-6_20210630,K6,ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,34.76,25.71,9.05,,,,0.94,,
ASO1-95_MT_1.2-6_20210630,K7,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.27,25.98,7.29,,,,-0.82,-0.67,1.60
ASO1-95_MT_1.2-6_20210630,K8,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.51,25.97,7.54,,,,-0.57,,
ASO1-95_MT_1.2-6_20210630,K9,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.44,25.98,7.47,,,,-0.64,,
ASO1-95_MT_1.2-6_20210630,K10,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.39,25.01,8.38,,,,0.28,0.26,0.84
ASO1-95_MT_1.2-6_20210630,K11,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.54,25.07,8.47,,,,0.37,,
ASO1-95_MT_1.2-6_20210630,K12,ASO24_3,KQ283_L20_5-10-5_3uM_P1.2-2,33.33,25.10,8.23,,,,0.13,,
ASO1-95_MT_1.2-6_20210630,K13,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,36.64,27.60,9.03,,,,0.93,1.18,0.44
ASO1-95_MT_1.2-6_20210630,K14,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,37.25,27.59,9.66,,,,1.55,,
ASO1-95_MT_1.2-6_20210630,K15,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,36.72,27.57,9.15,,,,1.04,,
ASO1-95_MT_1.2-6_20210630,K16,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,34.93,26.89,8.05,,,,-0.06,-0.01,1.00
ASO1-95_MT_1.2-6_20210630,K17,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,35.20,26.90,8.30,,,,0.20,,
ASO1-95_MT_1.2-6_20210630,K18,ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,34.91,26.96,7.95,,,,-0.16,,
ASO1-95_MT_1.2-6_20210630,K19,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,36.24,26.56,9.68,,,,1.57,1.01,0.50
ASO1-95_MT_1.2-6_20210630,K20,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,35.64,26.51,9.13,,,,1.02,,
ASO1-95_MT_1.2-6_20210630,K21,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,35.15,26.62,8.53,,,,0.42,,
ASO1-95_MT_1.2-6_20210630,K22,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,33.92,26.21,7.70,,,,-0.40,-0.21,1.15
ASO1-95_MT_1.2-6_20210630,K23,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.12,26.22,7.90,,,,-0.21,,
ASO1-95_MT_1.2-6_20210630,K24,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.33,26.24,8.09,,,,-0.01,,
