Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO268-186_MT_1.2-8_20210701,A21,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,29.65835033,22.26746092,7.39,,,,-0.04,,,,,
ASO268-186_MT_1.2-8_20210701,A22,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.2201815,22.73625193,7.48,,,,0.05,0.04,0.97,,,
ASO268-186_MT_1.2-8_20210701,A23,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.22379945,22.73444299,7.49,,,,0.06,,,,,
ASO268-186_MT_1.2-8_20210701,A24,ASO149_3,KQ455_L20_5-10-5_3uM_P1.2-5,30.22184587,22.78006488,7.44,,,,0.01,,,,,
ASO268-186_MT_1.2-8_20210701,B1,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.5397056,23.00498229,7.53,,,,0.11,0.13,0.91,,,
ASO268-186_MT_1.2-8_20210701,B2,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.57232147,23.05318226,7.52,,,,0.09,,,,,
ASO268-186_MT_1.2-8_20210701,B3,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.7096873,23.07835215,7.63,,,,0.20,,,,,
ASO268-186_MT_1.2-8_20210701,B4,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.84870085,23.41091473,7.44,,,,0.01,0.10,0.93,,,
ASO268-186_MT_1.2-8_20210701,B5,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,30.88042841,23.37131864,7.51,,,,0.08,,,,,
ASO268-186_MT_1.2-8_20210701,B6,ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,31.0772386,23.43909255,7.64,,,,0.21,,,,,
ASO268-186_MT_1.2-8_20210701,B7,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.59682808,22.94845333,7.65,,,,0.22,0.21,0.86,,,
ASO268-186_MT_1.2-8_20210701,B8,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.66232469,22.98009,7.68,,,,0.25,,,,,
ASO268-186_MT_1.2-8_20210701,B9,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.5857121,22.99542799,7.59,,,,0.16,,,,,
ASO268-186_MT_1.2-8_20210701,B10,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.25332567,22.88870864,7.36,,,,-0.07,-0.04,1.03,,,
ASO268-186_MT_1.2-8_20210701,B11,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.46823041,22.94660274,7.52,,,,0.09,,,,,
ASO268-186_MT_1.2-8_20210701,B12,ASO269_3,KQJM011_L19_5-10-4_3uM_P1.2-5,30.30660308,23.01392437,7.29,,,,-0.14,,,,,
ASO268-186_MT_1.2-8_20210701,B13,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.64115179,25.50817996,8.13,,,,0.70,0.88,0.54,,,
ASO268-186_MT_1.2-8_20210701,B14,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.76460292,25.37765659,8.39,,,,0.96,,,,,
ASO268-186_MT_1.2-8_20210701,B15,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,34.05594977,25.63932387,8.42,,,,0.99,,,,,
ASO268-186_MT_1.2-8_20210701,B16,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,32.81540058,24.61437122,8.20,,,,0.77,0.95,0.52,,,
ASO268-186_MT_1.2-8_20210701,B17,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,33.15631869,24.43771635,8.72,,,,1.29,,,,,
ASO268-186_MT_1.2-8_20210701,B18,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,32.74515384,24.53631721,8.21,,,,0.78,,,,,
ASO268-186_MT_1.2-8_20210701,B19,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.32623851,22.79259558,7.53,,,,0.10,0.24,0.84,,,
ASO268-186_MT_1.2-8_20210701,B20,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.26634643,22.63389703,7.63,,,,0.20,,,,,
ASO268-186_MT_1.2-8_20210701,B21,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.57487537,22.71719479,7.86,,,,0.43,,,,,
ASO268-186_MT_1.2-8_20210701,B22,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.15252578,23.23595796,7.92,,,,0.49,0.57,0.68,,,
ASO268-186_MT_1.2-8_20210701,B23,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.11889589,23.09321639,8.03,,,,0.60,,,,,
ASO268-186_MT_1.2-8_20210701,B24,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.30171069,23.25787327,8.04,,,,0.61,,,,,
ASO268-186_MT_1.2-8_20210701,C1,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,31.88686642,24.02207942,7.86,,,,0.44,0.46,0.73,,,
ASO268-186_MT_1.2-8_20210701,C2,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,32.01852034,24.04505258,7.97,,,,0.54,,,,,
ASO268-186_MT_1.2-8_20210701,C3,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,31.91278522,24.0846412,7.83,,,,0.40,,,,,
ASO268-186_MT_1.2-8_20210701,C4,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.76979322,23.00950415,7.76,,,,0.33,0.36,0.78,,,
ASO268-186_MT_1.2-8_20210701,C5,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.79321199,23.01937519,7.77,,,,0.34,,,,,
ASO268-186_MT_1.2-8_20210701,C6,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.89932402,23.06829632,7.83,,,,0.40,,,,,
ASO268-186_MT_1.2-8_20210701,C7,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,30.94809927,23.29115137,7.66,,,,0.23,0.28,0.82,,,
ASO268-186_MT_1.2-8_20210701,C8,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,31.08501017,23.33027553,7.75,,,,0.33,,,,,
ASO268-186_MT_1.2-8_20210701,C9,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,31.06072137,23.34723939,7.71,,,,0.28,,,,,
ASO268-186_MT_1.2-8_20210701,C10,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,30.64435732,22.96384829,7.68,,,,0.25,0.26,0.83,,,
ASO268-186_MT_1.2-8_20210701,C11,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,30.63415052,23.00041669,7.63,,,,0.20,,,,,
ASO268-186_MT_1.2-8_20210701,C12,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,30.83008753,23.0732827,7.76,,,,0.33,,,,,
ASO268-186_MT_1.2-8_20210701,C13,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,31.75296099,23.8676663,7.89,,,,0.46,0.33,0.80,,,
ASO268-186_MT_1.2-8_20210701,C14,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,31.51574359,23.92544781,7.59,,,,0.16,,,,,
ASO268-186_MT_1.2-8_20210701,C15,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,31.78382105,23.97977693,7.80,,,,0.37,,,,,
ASO268-186_MT_1.2-8_20210701,C16,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,32.48168455,24.79096216,7.69,,,,0.26,0.06,0.96,,,
ASO268-186_MT_1.2-8_20210701,C17,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,32.21198419,24.79927532,7.41,,,,-0.02,,,,,
ASO268-186_MT_1.2-8_20210701,C18,ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,32.25367428,24.87900782,7.37,,,,-0.05,,,,,
ASO268-186_MT_1.2-8_20210701,C19,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,31.07196792,23.33766982,7.73,,,,0.30,0.37,0.78,,,
ASO268-186_MT_1.2-8_20210701,C20,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,31.17814173,23.32956064,7.85,,,,0.42,,,,,
ASO268-186_MT_1.2-8_20210701,C21,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,31.19442468,23.39093428,7.80,,,,0.37,,,,,
ASO268-186_MT_1.2-8_20210701,C22,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,30.73814336,22.78138081,7.96,,,,0.53,0.52,0.70,,,
ASO268-186_MT_1.2-8_20210701,C23,ASO277_3,KQJM020_L22_7-08-7_3uM_P1.2-5,30.71449252,22.83577497,7.88,,,,0.45,,,,,
