Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
R3.1_P1-1+P1-2_WT_20210826,H15,Naive_R3.1P1-1,Naive_R3.1P1-1,6.153542314449499,-0.1192357163820911,1.0861593052080034,6.984246938116134,-0.8307046236666347,1.7785538099829192,0.0567369716380628,2.07196632483533
R3.1_P1-1+P1-2_WT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,6.422374062518504,0.1495960316869133,0.9015028566344764,6.984246938116134,-0.5618728755976301,1.476184324610359,0.6735525047610049,1.9071073929021036
R3.1_P1-1+P1-2_WT_20210826,F6,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,5.9245003677709995,-0.3482776630605908,1.2730399227044047,6.984246938116134,-1.0597465703451343,2.084565306332005,0.5096456673883186,1.841357530300361
R3.1_P1-1+P1-2_WT_20210826,C14,ASO574_10_R3.1P1-1,KQ2211_L19_5-09-5_10uM_R3.1P1-1,6.592239523041496,0.3194614922099053,0.8013689448750051,6.984246938116134,-0.3920074150746382,1.3122179990314462,0.6541370304848559,1.9387684508587848
R3.1_P1-1+P1-2_WT_20210826,E8,ASO8-2nd_3_R3.1P1-1,KQ373_2nd batch_L20_5-10-5_3uM_R3.1P1-1,6.783225083771299,0.5104470529397087,0.7020048714658981,6.984246938116134,-0.20102185434483477,1.149512261033514,0.2581241688440447,1.8083922736440543
R3.1_P1-1+P1-2_MT_20210826,P13,Naive_R3.1P1-2,Naive_R3.1P1-2,7.695940971637299,1.2692378615939486,0.41487888479078405,7.201371805893811,0.49456916574348764,0.7097736072468677,0.8779349455477026,2.703294512344199
R3.1_P1-1+P1-2_MT_20210826,I21,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,6.158700388323702,-0.2680027217196485,1.2041396529017054,7.201371805893811,-1.0426714175701095,2.060038667670512,0.89109914801956,1.9514790700773874
R3.1_P1-1+P1-2_MT_20210826,N14,ASO571_10_R3.1P1-2,KQ2208_L20_5-09-6_10uM_R3.1P1-2,8.094652719673704,1.6679496096303534,0.314700285017762,7.201371805893811,0.8932809137798925,0.5383883458212478,0.0926533630442254,1.9096953603204168
R3.1_P1-1+P1-2_MT_20210826,M8,ASO8-2nd_3_R3.1P1-2,KQ373_2nd batch_L20_5-10-5_3uM_R3.1P1-2,7.6907460765566995,1.2640429665133492,0.41637548471196956,7.201371805893811,0.4893742706628883,0.7123339861034607,0.29065773702661024,1.8709017719572214
R3.1 P1-1+P1-2_Total_20210826,P15,Naive_R3.1P1-2,Naive_R3.1P1-2,4.987139187152103,-0.7060295682845057,1.6313084202837582,5.989996931438681,-1.0028577442865787,2.003965601098824,0.5845838941678188,2.914509708980348
R3.1 P1-1+P1-2_Total_20210826,P11,Ionis676630_10_R3.1P1-2,Ionis676630_10uM_R3.1P1-2,3.415651475463598,-2.2775172799730106,4.848428739827694,5.989996931438681,-2.5743454559750836,5.9560070267421,2.442262973663438,2.607363296547961
R3.1 P1-1+P1-2_Total_20210826,K4,ASO566_10_R3.1P1-2,KQ2203_L20_6-09-5_10uM_R3.1P1-2,3.976007537999198,-1.7171612174374102,3.287888141642867,5.989996931438681,-2.0139893934394832,4.038975496103275,2.0568419023454148,2.02334872520387
