Experiment	r2
Round 1 AS 25.0 MT all	0.07569300921185418
Round 1 AS 26.0 WT all	0.3984533636425893
Round 1 AS 26.0 MT all	0.3701332081774319
Round 1 AS 27.0 WT all	0.20342375772052312
Round 1 AS 27.0 MT all	0.08497988149957592
Round 1 AS 28.0 WT all	0.05213301827632144
Round 1 AS 28.0 MT all	0.05200908996539977
Round 1 AS 29.0 WT all	0.7508258668931911
Round 1 AS 29.0 MT all	0.7274550011487387
Round 1 AS 30.0 WT all	0.8393995959419119
Round 1 AS 30.0 MT all	0.6946727851694766
Round 1 AS 31.0 WT all	0.707355655433191
Round 1 AS 31.0 MT all	0.8732437244151988
Round 1 AS 32.0 WT all	0.5683354299890914
Round 1 AS 32.0 MT all	0.5655510345022278
Round 1 AS 33.0 WT all	0.008505076568757541
Round 1 AS 33.0 MT all	0.014522650363488543
Round 1 AS 34.0 WT all	0.024966606569875816
Round 1 AS 34.0 MT all	0.036665188113138014
Round 1 AS 35.0 WT all	0.3920740198425585
Round 1 AS 35.0 MT all	0.4822360389759268
Round 1 AS 36.0 WT all	0.0022838527975200806
Round 1 AS 36.0 MT all	0.027639762867290196
Round 1 AS 37.0 WT all	0.8939932692952026
Round 1 AS 37.0 MT all	0.8538663399792986
Round 1 AS 38.0 WT all	0.4726967862555552
Round 1 AS 38.0 MT all	0.4793941231087272
Round 1 AS 39.0 WT all	0.39120776327701745
Round 1 AS 39.0 MT all	0.6587490205730132
Round 1 AS 40.0 WT all	0.5626258776115545
Round 1 AS 40.0 MT all	0.49223583262251336
Round 1 AS 41.0 WT all	0.15988423112076966
Round 1 AS 41.0 MT all	0.32150809965284444
Round 1 AS 42.0 WT all	0.031108694595251563
Round 1 AS 42.0 MT all	0.14936566509335902
Round 1 AS 43.0 WT all	0.017659613602005297
Round 1 AS 43.0 MT all	0.08923391882902953
Round 1 AS 44.0 WT all	6.415432943107646e-06
Round 1 AS 44.0 MT all	1.6256307490691846e-05
Round 1 AS 45.0 WT all	0.3874509242697812
Round 1 AS 45.0 MT all	0.36913501008799066
