Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp
Experiment_40_WT_1,KQ332_10uM,KQ332_10uM,8.305,6.7795,1.5255,0.347359149
Experiment_40_WT_1,KQ501_10uM,KQ501_10uM,7.288,6.7795,0.5085,0.702952933
Experiment_40_WT_1,KQ480_10uM,KQ480_10uM,7.396,6.7795,0.6165,0.652251382
Experiment_40_WT_1,KQJM071_10uM,KQJM071_10uM,7.093,6.7795,0.3135,0.804687206
Experiment_40_WT_1,KQ921_10uM,KQ921_10uM,6.963,6.7795,0.1835,0.880564141
Experiment_40_WT_1,KQ258_10uM,KQ258_10uM,7.732,6.7795,0.9525,0.51673625
Experiment_40_WT_1,KQ955_10uM,KQ955_10uM,8.305,6.7795,1.5255,0.347359149
Experiment_40_WT_1,KQ995_10uM,KQ995_10uM,7.443,6.7795,0.6635,0.631344786
Experiment_40_WT_1,KQ928_10uM,KQ928_10uM,7.068,6.7795,0.2885,0.818752891
Experiment_40_WT_1,KQ371_10uM,KQ371_10uM,7.733,6.7795,0.9535,0.5163782
Experiment_40_WT_1,Ionis 676630_10uM,Ionis 676630_10uM,6.849,6.7795,0.0695,0.952968214
Experiment_40_WT_1,KQ957_10uM,KQ957_10uM,8.154,6.7795,1.3745,0.385686352
Experiment_40_WT_1,KQ288_10uM,KQ288_10uM,7.41,6.7795,0.6305,0.645952506
Experiment_40_WT_1,KQ980_10uM,KQ980_10uM,7.1,6.7795,0.3205,0.800792296
Experiment_40_WT_1,KQ280_10uM,KQ280_10uM,7.308,6.7795,0.5285,0.693275172
Experiment_40_WT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,9.571,6.7795,2.7915,0.144435772
Experiment_40_WT_1,KQ956_10uM,KQ956_10uM,8.287,6.7795,1.5075,0.351720176
Experiment_40_WT_1,KQ426_10uM,KQ426_10uM,7.001,6.7795,0.2215,0.857673232
Experiment_40_WT_1,KQJM069_10uM,KQJM069_10uM,6.964,6.7795,0.1845,0.879953992
Experiment_40_WT_1,KQ372_10uM,KQ372_10uM,7.268,6.7795,0.4885,0.71276579
