Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_total_1.2-6_20210630,K22,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.54772746,26.35364885,8.19,,,,0.35,-0.02,1.01
ASO1-95_total_1.2-6_20210630,K23,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,34.13634005,26.2734567,7.86,,,,0.02,,
ASO1-95_total_1.2-6_20210630,K24,ASO60_3,KQ921_L20_5-10-5_3uM_P1.2-2,33.8322327,26.40819857,7.42,,,,-0.42,,
ASO1-95_total_1.2-6_20210630,L1,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.94975896,26.28459035,9.67,,,,1.82,1.36,0.39
ASO1-95_total_1.2-6_20210630,L2,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.50256003,26.27749694,9.23,,,,1.38,,
ASO1-95_total_1.2-6_20210630,L3,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.06179951,26.3270276,8.73,,,,0.89,,
ASO1-95_total_1.2-6_20210630,L4,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.17155221,26.27654272,8.90,,,,1.05,1.00,0.50
ASO1-95_total_1.2-6_20210630,L5,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.2603346,26.28935951,8.97,,,,1.13,,
ASO1-95_total_1.2-6_20210630,L6,ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,35.0667345,26.38623143,8.68,,,,0.84,,
ASO1-95_total_1.2-6_20210630,L7,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,33.85239106,25.18719207,8.67,,,,0.82,1.10,0.47
ASO1-95_total_1.2-6_20210630,L8,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.3567493,25.14436399,9.21,,,,1.37,,
ASO1-95_total_1.2-6_20210630,L9,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.11321903,25.14850465,8.96,,,,1.12,,
ASO1-95_total_1.2-6_20210630,L10,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.5158933,26.51013575,8.01,,,,0.16,0.15,0.90
ASO1-95_total_1.2-6_20210630,L11,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.33868812,26.53086187,7.81,,,,-0.04,,
ASO1-95_total_1.2-6_20210630,L12,ASO37_3,KQ258_L20_5-10-5_3uM_P1.2-2,34.77879486,26.61935299,8.16,,,,0.31,,
ASO1-95_total_1.2-6_20210630,L13,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,33.62710457,26.38838243,7.24,,,,-0.61,-0.45,1.36
ASO1-95_total_1.2-6_20210630,L14,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,33.57761696,26.36675541,7.21,,,,-0.63,,
ASO1-95_total_1.2-6_20210630,L15,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,34.08016528,26.33421075,7.75,,,,-0.10,,
ASO1-95_total_1.2-6_20210630,L16,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,35.18944867,26.04921736,9.14,,,,1.29,1.10,0.47
ASO1-95_total_1.2-6_20210630,L17,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,35.50184014,26.04554829,9.46,,,,1.61,,
ASO1-95_total_1.2-6_20210630,L18,ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,34.39587903,26.15599023,8.24,,,,0.39,,
ASO1-95_total_1.2-6_20210630,L19,ASO61_3,KQ920_L20_5-10-5_3uM_P1.2-2,34.18655015,25.35999897,8.83,,,,0.98,1.14,0.45
