Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,A20,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,34.72902364,25.62549583,9.10,,,,1.16,,,,,
ASO1-95_MT_1.2-6_20210630,A21,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.49041142,25.70143222,9.79,,,,1.85,,,,,
ASO1-95_MT_1.2-6_20210630,A22,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.80901692,25.76062194,10.05,,,,2.11,2.23,0.21,,,
ASO1-95_MT_1.2-6_20210630,A23,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,36.40096881,25.70763107,10.69,,,,2.75,,,,,
ASO1-95_MT_1.2-6_20210630,A24,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,35.47538759,25.70962097,9.77,,,,1.83,,,,,
ASO1-95_MT_1.2-6_20210630,B1,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.0099325,25.84510124,8.16,,,,0.23,0.53,0.69,,,
ASO1-95_MT_1.2-6_20210630,B2,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.55866094,25.83266068,8.73,,,,0.79,,,,,
ASO1-95_MT_1.2-6_20210630,B3,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.31442097,25.80663222,8.51,,,,0.57,,,,,
ASO1-95_MT_1.2-6_20210630,B4,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,34.36969885,25.77063288,8.60,,,,0.66,0.27,0.83,,,
ASO1-95_MT_1.2-6_20210630,B5,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,33.70948618,25.80295109,7.91,,,,-0.03,,,,,
ASO1-95_MT_1.2-6_20210630,B6,ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,33.91395374,25.79830897,8.12,,,,0.18,,,,,
ASO1-95_MT_1.2-6_20210630,B7,ASO3_3,KQ379_L20_5-10-5_3uM_P1.2-1,33.23922325,24.98218508,8.26,,,,0.32,0.42,0.75,,,
