Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO268-186_WT_1.2-8_20210701,B16,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,32.50501469,24.71884335,7.79,,,,-0.01,-0.11,1.08
ASO268-186_WT_1.2-8_20210701,B17,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,32.24010239,24.73949179,7.50,,,,-0.29,,
ASO268-186_WT_1.2-8_20210701,B18,ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,32.4824662,24.7048372,7.78,,,,-0.02,,
ASO268-186_WT_1.2-8_20210701,B19,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.33183829,22.89013443,7.44,,,,-0.35,-0.48,1.40
ASO268-186_WT_1.2-8_20210701,B20,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.09970879,22.89220926,7.21,,,,-0.59,,
ASO268-186_WT_1.2-8_20210701,B21,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,30.1115868,22.81900272,7.29,,,,-0.50,,
ASO268-186_WT_1.2-8_20210701,B22,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.11467092,23.38257128,7.73,,,,-0.06,-0.01,1.01
ASO268-186_WT_1.2-8_20210701,B23,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.29178859,23.49021807,7.80,,,,0.01,,
ASO268-186_WT_1.2-8_20210701,B24,ASO276_3,KQJM019_L22_6-10-6_3uM_P1.2-5,31.18221667,23.35419076,7.83,,,,0.03,,
ASO268-186_WT_1.2-8_20210701,C1,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,31.9868708,24.11520813,7.87,,,,0.08,0.04,0.97
ASO268-186_WT_1.2-8_20210701,C2,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,31.98254735,24.1230514,7.86,,,,0.06,,
ASO268-186_WT_1.2-8_20210701,C3,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,31.90150631,24.13308304,7.77,,,,-0.03,,
ASO268-186_WT_1.2-8_20210701,C4,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.94607909,23.0794482,7.87,,,,0.07,-0.02,1.01
ASO268-186_WT_1.2-8_20210701,C5,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.85036053,23.10700392,7.74,,,,-0.05,,
ASO268-186_WT_1.2-8_20210701,C6,ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,30.86038655,23.13958659,7.72,,,,-0.07,,
ASO268-186_WT_1.2-8_20210701,C7,ASO270_3,KQJM012_L19_6-08-5_3uM_P1.2-5,30.94251517,23.27290108,7.67,,,,-0.13,-0.15,1.11
