Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
R3.1_P1-1+P1-2_MT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,,,0.03692423223521542,
R3.1_P1-1+P1-2_MT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,8.584155749999997,2.358187293,0.19503604850504153,0.03692423223521542,0.826254449917967
R3.1_P1-1+P1-2_MT_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,9.03372582,2.807757361,0.14281729849778604,0.03692423223521542,1.3005326509246422
R3.1_P1-1+P1-2_MT_20210826,G13,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,,,0.3270904254317852,
R3.1_P1-1+P1-2_MT_20210826,G14,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,6.575003609999996,0.349035163,0.7851089828736861,0.3270904254317852,0.4018896712893994
R3.1_P1-1+P1-2_MT_20210826,G16,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,6.58981898,0.36385052,0.7770877799527627,0.05632787121122913,0.36741246319592574
R3.1_P1-1+P1-2_MT_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,6.445886059999999,0.219917608,0.8586144703232353,0.05632787121122913,0.7178352983722959
R3.1_P1-1+P1-2_MT_20210826,G18,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,6.640006830000001,0.414038375,0.7505195850286694,0.05632787121122913,0.2532154787665035
R3.1_P1-1+P1-2_MT_20210826,H7,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,7.138638279999999,0.912669826,0.5312011495955339,0.07439707712491288,0.6894719724434635
R3.1_P1-1+P1-2_MT_20210826,H8,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,6.7991624,0.573193944,0.6721271357845315,0.07439707712491288,0.08373557610545736
R3.1_P1-1+P1-2_MT_20210826,H9,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,7.06165605,0.835687597,0.5603159254771403,0.07439707712491288,0.5643291233520173
R3.1_P1-1+P1-2_MT_20210826,H10,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,7.27781495,1.051846494,0.48235041273144874,0.01656040950814669,0.8994450945532686
R3.1_P1-1+P1-2_MT_20210826,H11,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,7.358707169999999,1.132738718,0.45604916892405173,0.01656040950814669,1.0124946539278885
R3.1_P1-1+P1-2_MT_20210826,H12,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,7.2650617,1.039093246,0.4866332333985806,0.01656040950814669,0.8810364218362923
R3.1_P1-1+P1-2_MT_20210826,A1,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,7.634898090000004,1.408929639,0.37659098275194675,0.09670686871469478,0.3815405414064067
R3.1_P1-1+P1-2_MT_20210826,A2,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,7.6405186,1.414550152,0.3751266976703532,0.09670686871469478,0.37027447902104815
R3.1_P1-1+P1-2_MT_20210826,A3,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,7.1060008,0.880032343,0.5433552499389513,0.09670686871469478,1.6646080679380557
R3.1_P1-1+P1-2_MT_20210826,A4,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,8.3971603,2.171191851,0.2220271716065479,0.0005572063469057578,0.8076579014185556
R3.1_P1-1+P1-2_MT_20210826,A5,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,8.397643620000004,2.171675173,0.22195280201327933,0.0005572063469057578,0.8082300936015324
R3.1_P1-1+P1-2_MT_20210826,A6,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,8.391157289999999,2.165188838,0.22295294507058433,0.0005572063469057578,0.8005350933454216
R3.1_P1-1+P1-2_MT_20210826,A7,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,7.39351993,1.167551478,0.44517624674124945,0.036604317885924165,1.4375813105706359
