Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_MT_20210730,B16,KQ306_10_P2.1-1,KQ306_L20_5-10-5_10uM_P2.1-1,7.6420107900000005,0.396208309,0.7598527060622323,7.70747105,-0.06546025999999916,1.0464187233367037,0.047227658149992614,0.7316278043881494,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B17,KQ306_10_P2.1-1,KQ306_L20_5-10-5_10uM_P2.1-1,7.663599780000002,0.417797304,0.7485666582472414,7.70747105,-0.043871269999997686,1.0308763307952298,0.047227658149992614,1.0867735583496274,1.0,,,
Rd2.1.3_P1+2_MT_20210730,B18,KQ306_10_P2.1-1,KQ306_L20_5-10-5_10uM_P2.1-1,7.544831470000002,0.299028987,0.8127992708481541,7.70747105,-0.16263957999999779,1.1193332173001262,0.047227658149992614,0.9344781612319664,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A7,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.6955697,0.571203688,0.6730550021459706,7.707525778333333,-0.011956078333333231,1.008321756898834,0.07650362965871477,1.492598940766956,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A8,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.800635709999998,0.676269702,0.6257812328572794,7.707525778333333,0.09310993166666481,0.9374996573632126,0.07650362965871477,0.7290019034055816,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A9,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.9327672599999985,0.80840125,0.5710142878135526,7.707525778333333,0.22524148166666524,0.8554518261730547,0.07650362965871477,0.15562988850026102,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A19,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.144718680000004,1.02035267,0.4929958235938925,7.707525778333333,0.4371929016666707,0.7385702715144449,0.05842898267286798,1.4158355226839194,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A20,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.95686302,0.832497006,0.5615564629383762,7.707525778333333,0.24933724166666682,0.8412828026202754,0.05842898267286798,0.3083989320353786,1.0,,,
Rd2.1.3_P1+2_WT_20210730,A21,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.962175170000002,0.837809158,0.5594925561902476,7.707525778333333,0.25464939166666856,0.8381908097121878,0.05842898267286798,0.34173650095298086,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A7,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.928364460000001,1.418494779,0.37410242452196785,7.840800801666664,0.08756365833333657,0.9411107024609824,0.029278219258090793,0.3625642952451258,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A8,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.01781296,1.507943291,0.35161212076459103,7.840800801666664,0.17701215833333617,0.8845329808856318,0.029278219258090793,0.31696320256837357,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A9,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.993204110000001,1.483334437,0.357661209496655,7.840800801666664,0.15240330833333626,0.8997503675873024,0.029278219258090793,0.13419457172354662,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A19,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.009340379999998,1.499470708,0.3536831250884547,7.840800801666664,0.16853957833333322,0.8897429007640754,0.12827852009673751,0.2543893887025645,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A20,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.16531449,1.655444819,0.3174398558896405,7.840800801666664,0.3245136883333357,0.7985675265748506,0.12827852009673751,1.349452465827361,1.0,,,
Rd2.1.3_P1+2_Total_20210730,A21,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,7.767890640000001,1.258020969,0.4181171227463842,7.840800801666664,-0.07291016166666342,1.0518362780704296,0.12827852009673751,1.692435333576716,1.0,,,
Rd2.1.3_P1+2_MT_20210730,A7,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.163948209999997,0.918145728,0.5291887408790851,7.70747105,0.4564771599999977,0.7287636167287218,0.025468449937957535,0.4275292886542532,1.0,,,
