Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,I4,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.1357461729789,24.8835303646938,7.252215808285097,,,,1.5590470528484888,1.6895426335118235,0.3100251943047436
R3.1 P1-1+P1-2_Total_20210826,I5,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.1924416294698,24.9291062616646,7.2633353678051975,,,,1.5701666123685891,,
R3.1 P1-1+P1-2_Total_20210826,I6,ASO564_10_R3.1P1-2,KQ2201_L20_6-08-6_10uM_R3.1P1-2,rs8113956,32.6048342960421,24.9722513052871,7.632582990755001,,,,1.9394142353183925,,
R3.1 P1-1+P1-2_Total_20210826,I7,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.91594532192,24.3891649056204,6.526780416299598,,,,0.8336116608629895,0.9923304392986584,0.5026651450460337
R3.1 P1-1+P1-2_Total_20210826,I8,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,31.1672978968922,24.2290794200627,6.938218476829501,,,,1.2450497213928928,,
R3.1 P1-1+P1-2_Total_20210826,I9,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,31.0353748241284,24.4438761330517,6.591498691076701,,,,0.8983299356400929,,
R3.1 P1-1+P1-2_Total_20210826,I10,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,31.3626468158091,24.8108660017157,6.5517808140934015,,,,0.8586120586567931,0.879891688963359,0.5434082263703397
R3.1 P1-1+P1-2_Total_20210826,I11,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,31.3188068015189,24.852256570919,6.4665502305999,,,,0.7733814751632915,,
R3.1 P1-1+P1-2_Total_20210826,I12,ASO564_3_R3.1P1-2,KQ2201_L20_6-08-6_3uM_R3.1P1-2,rs8113956,31.6478097148293,24.9469594263227,6.700850288506601,,,,1.0076815330699924,,
R3.1 P1-1+P1-2_Total_20210826,J1,ASO565_10_R3.1P1-2,KQ2202_L20_5-09-6_10uM_R3.1P1-2,rs8113956,32.0000397429788,24.3401975590714,7.659842183907401,,,,1.9666734284707923,2.1957964688427247,0.21827268887799828
