Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P3-1+P3-2_WT_20210826,B4,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,34.99591552,26.1544437,8.8414718262397,,,,2.6871450534654,2.6027405096011,0.1646254729616
R3.1_P3-1+P3-2_WT_20210826,B5,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,35.18086445,26.15322615,9.0276382948668,,,,2.8733115220925,,
R3.1_P3-1+P3-2_WT_20210826,B6,ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,rs3827018,34.53527398,26.13318226,8.4020917260197,,,,2.2477649532454,,
R3.1_P3-1+P3-2_WT_20210826,B7,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.36906329,23.3851943,6.9838689940462,,,,0.8295422212719,0.9312642793857,0.5243985932885
R3.1_P3-1+P3-2_WT_20210826,B8,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.49371404,23.35421076,7.1395032855385,,,,0.9851765127642,,
R3.1_P3-1+P3-2_WT_20210826,B9,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.51328901,23.37988813,7.1334008768954,,,,0.9790741041211,,
R3.1_P3-1+P3-2_WT_20210826,B10,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.0650688,23.13501989,6.9300489072964,,,,0.7757221345221,0.8108315935609,0.5700531750259
R3.1_P3-1+P3-2_WT_20210826,B11,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.21030235,23.11533115,7.0949712005297,,,,0.9406444277554,,
R3.1_P3-1+P3-2_WT_20210826,B12,ASO186_3_R3.1P3-1,KQ273_L20_5-10-5_3uM_R3.1P3-1,rs3827018,30.17823488,23.30777989,6.8704549911795,,,,0.7161282184052,,
R3.1_P3-1+P3-2_WT_20210826,F1,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,32.400534,25.01310547,7.3874285302832,,,,1.2331017575089,1.0923561020868,0.4689948214277
R3.1_P3-1+P3-2_WT_20210826,F2,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,32.15317012,25.04663812,7.1065320015835,,,,0.9522052288092,,
R3.1_P3-1+P3-2_WT_20210826,F3,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,32.29861605,25.05252796,7.2460880927166,,,,1.0917613199423,,
R3.1_P3-1+P3-2_WT_20210826,F4,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,32.23747839,24.67578231,7.5616960807307,,,,1.4073693079564,1.2516928141552,0.4199551559055
R3.1_P3-1+P3-2_WT_20210826,F5,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,32.13553805,24.69685606,7.4386819960913,,,,1.2843552233170,,
R3.1_P3-1+P3-2_WT_20210826,F6,ASO187-2nd_10_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_10uM_R3.1P3-1,rs34659510,31.90885021,24.69116952,7.2176806839665,,,,1.0633539111922,,
R3.1_P3-1+P3-2_WT_20210826,F7,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.04854166,24.18532368,6.8632179792980,,,,0.7088912065237,0.7176096539887,0.6081041523954
R3.1_P3-1+P3-2_WT_20210826,F8,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.08627334,24.2402604,6.8460129458893,,,,0.6916861731150,,
R3.1_P3-1+P3-2_WT_20210826,F9,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.10852384,24.20194548,6.9065783551018,,,,0.7522515823275,,
R3.1_P3-1+P3-2_WT_20210826,F10,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.05303892,24.418479,6.6345599191982,,,,0.4802331464239,0.5413090009852,0.6871471566731
R3.1_P3-1+P3-2_WT_20210826,F11,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.1589421,24.49348613,6.6654559701946,,,,0.5111291974203,,
R3.1_P3-1+P3-2_WT_20210826,F12,ASO187-2nd_3_R3.1P3-1,KQ995_2nd batch_L20_5-10-5_3uM_R3.1P3-1,rs34659510,31.22231122,24.43541979,6.7868914318858,,,,0.6325646591115,,
R3.1_P3-1+P3-2_WT_20210826,A13,ASO188_10_R3.1P3-1,KQ480_L20_5-10-5_10uM_R3.1P3-1,rs34659510,36.24294342,29.05618254,7.1867608750751,,,,1.0324341023008,0.6686459424459,0.6290968561479
