,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
20,Exp_40_MT,KQ280_10uM,KQ280_10uM,8.284,6.8025,1.4815,0.358116277,0.021487106197036487,-0.7071067811865495
21,Exp_40_MT,KQ280_10uM,KQ280_10uM,8.901,7.537,1.364,0.388503634,0.021487106197036487,0.7071067811865469
22,Exp_40_WT,KQ280_10uM,KQ280_10uM,7.011,6.5805,0.4305,0.742004582,0.03445689625421954,0.7071067811865476
23,Exp_40_WT,KQ280_10uM,KQ280_10uM,7.308,6.7795,0.5285,0.693275172,0.03445689625421954,-0.7071067811865476
24,Exp_40_MT,KQ288_10uM,KQ288_10uM,8.426,7.537,0.889,0.53998828,0.002789108452178305,-0.7071067811865475
25,Exp_40_WT,KQ288_10uM,KQ288_10uM,7.41,6.7795,0.6305,0.645952506,0.031178063323060983,0.7071067811865476
26,Exp_40_MT,KQ288_10uM,KQ288_10uM,7.681,6.8025,0.8785,0.543932675,0.002789108452178305,0.7071067811865475
27,Exp_40_WT,KQ288_10uM,KQ288_10uM,7.313,6.5805,0.7325,0.601860066,0.031178063323060983,-0.7071067811865476
28,Exp_40_WT,KQ332_10uM,KQ332_10uM,7.363,6.5805,0.7825,0.581358502,0.16546252929956476,0.7071067811865475
29,Exp_40_MT,KQ332_10uM,KQ332_10uM,8.348,6.8025,1.5455,0.342576953,0.042952442697600596,-0.7071067811865476
30,Exp_40_MT,KQ332_10uM,KQ332_10uM,8.847,7.537,1.31,0.40332088,0.042952442697600596,0.7071067811865476
31,Exp_40_WT,KQ332_10uM,KQ332_10uM,8.305,6.7795,1.5255,0.347359149,0.16546252929956476,-0.7071067811865475
32,Exp_40_WT,KQ371_10uM,KQ371_10uM,7.594,6.5805,1.0135,0.495343079,0.014874076702179525,-0.7071067811865503
33,Exp_40_WT,KQ371_10uM,KQ371_10uM,7.733,6.7795,0.9535,0.5163782,0.014874076702179525,0.7071067811865466
34,Exp_40_MT,KQ371_10uM,KQ371_10uM,8.695,6.8025,1.8925,0.269339924,0.030683022108192938,-0.7071067811865476
35,Exp_40_MT,KQ371_10uM,KQ371_10uM,9.214,7.537,1.677,0.31273227,0.030683022108192938,0.7071067811865476
36,Exp_40_WT,KQ372_10uM,KQ372_10uM,7.268,6.7795,0.4885,0.71276579,0.047244126189742636,0.7071067811865476
37,Exp_40_MT,KQ372_10uM,KQ372_10uM,9.141,7.537,1.604,0.328963631,0.009088669732760696,0.7071067811865429
38,Exp_40_WT,KQ372_10uM,KQ372_10uM,7.211,6.5805,0.6305,0.645952506,0.047244126189742636,-0.7071067811865476
39,Exp_40_MT,KQ372_10uM,KQ372_10uM,8.464,6.8025,1.6615,0.316110311,0.009088669732760696,-0.707106781186549
40,Exp_40_WT,KQ373_10uM,KQ373_10uM,8.374,6.7795,1.5945,0.331136971,0.0350581852127083,0.7071067811865488
41,Exp_40_MT,KQ373_10uM,KQ373_10uM,10.283,7.537,2.746,0.149063609,0.03247753466805092,-0.7071067811865476
42,Exp_40_WT,KQ373_10uM,KQ373_10uM,8.409,6.5805,1.8285,0.28155721,0.0350581852127083,-0.7071067811865471
43,Exp_40_MT,KQ373_10uM,KQ373_10uM,9.161,6.8025,2.3585,0.194993779,0.03247753466805092,0.7071067811865476
44,Exp_40_MT,KQ426_10uM,KQ426_10uM,7.31,6.8025,0.5075,0.703440352,0.09436602755814366,0.7071067811865475
45,Exp_40_WT,KQ426_10uM,KQ426_10uM,7.001,6.7795,0.2215,0.857673232,0.2295022078952273,0.7071067811865476
46,Exp_40_WT,KQ426_10uM,KQ426_10uM,7.488,6.5805,0.9075,0.533108097,0.2295022078952273,-0.7071067811865476
47,Exp_40_MT,KQ426_10uM,KQ426_10uM,8.348,7.537,0.811,0.569986636,0.09436602755814366,-0.7071067811865475
