Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
ASO1-95_MT_1.2-6_20210630,A17,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.85858013,1.92,0.2642545101403451,0.03765716154851167,0.09634483710976623,1.0,,,
ASO1-95_MT_1.2-6_20210630,A18,ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,9.81702082,1.88,0.27168371563151456,0.03765716154851167,0.14605507895893224,1.0,,,
ASO1-95_total_1.2-6_20210630,A19,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,8.94775203,1.41,0.37631168685276684,0.09958401867641045,1.1105110519045174,1.0,,,
ASO1-95_total_1.2-6_20210630,A20,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.068978419999997,1.53,0.34627736702773115,0.09958401867641045,0.7828020060173497,1.0,,,
ASO1-95_total_1.2-6_20210630,A21,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.925868950000002,2.39,0.19078240112006986,0.09958401867641045,0.9138272905575998,1.0,,,
ASO1-95_total_1.2-6_20210630,A22,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.068718220000001,1.53,0.34627736702773115,0.09162891650411818,0.7828020060173497,1.0,,,
ASO1-95_total_1.2-6_20210630,A23,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,10.111605620000002,2.57,0.1684041971082113,0.09162891650411818,1.15799928872889,1.0,,,
ASO1-95_total_1.2-6_20210630,A24,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.727303409999998,2.19,0.21915143032900877,0.09162891650411818,0.604288484652728,1.0,,,
ASO1-95_WT_1.2-6_20210630,A19,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.051958559999996,0.62,0.6506709277209668,0.17810422213901209,0.2653963594794481,1.0,,,
ASO1-95_WT_1.2-6_20210630,A20,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,8.55823346,0.13,0.9138314502294005,0.17810422213901209,1.7867896090781226,1.0,,,
ASO1-95_WT_1.2-6_20210630,A21,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.231940580000003,0.8,0.5743491774985174,0.17810422213901209,0.17583773779009712,1.0,,,
ASO1-95_WT_1.2-6_20210630,A22,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.34230072,0.91,0.5321850912266799,0.08925056147240344,0.4195982973832024,1.0,,,
ASO1-95_WT_1.2-6_20210630,A23,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.771929800000002,1.34,0.39502065593168856,0.08925056147240344,1.2125783536381305,1.0,,,
ASO1-95_WT_1.2-6_20210630,A24,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.261383990000002,0.83,0.5625292423444047,0.08925056147240344,0.24417157974614076,1.0,,,
ASO1-95_MT_1.2-6_20210630,A19,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.338458080000002,1.4,0.37892914162759955,0.0855903710292799,0.7986600614572771,1.0,,,
ASO1-95_MT_1.2-6_20210630,A20,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.103527810000003,1.16,0.4475125354639862,0.0855903710292799,1.4453797640377124,1.0,,,
ASO1-95_MT_1.2-6_20210630,A21,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.7889792,1.85,0.2773923680169612,0.0855903710292799,0.15879958521903317,1.0,,,
ASO1-95_MT_1.2-6_20210630,A22,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,10.048394979999998,2.11,0.23164701547259273,0.0670033153453408,0.5901637848751201,1.0,,,
ASO1-95_MT_1.2-6_20210630,A23,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,10.69333774,2.75,0.14865088937534013,0.0670033153453408,1.3727909921695236,1.0,,,
ASO1-95_MT_1.2-6_20210630,A24,ASO11_3,KQ371_L20_5-10-5_3uM_P1.2-1,9.765766619999997,1.83,0.28126462117220236,0.0670033153453408,0.12228546323131262,1.0,,,
ASO1-95_total_1.2-6_20210630,B13,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.706410530000003,2.17,0.22221067029164257,0.05282162888549369,1.220185332196286,1.0,,,
ASO1-95_total_1.2-6_20210630,B14,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.368451890000003,1.83,0.28126462117220236,0.05282162888549369,0.06787801843841967,1.0,,,
ASO1-95_total_1.2-6_20210630,B15,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.15397403,1.61,0.3275983509645908,0.05282162888549369,1.0784925218523391,1.0,,,
ASO1-95_total_1.2-6_20210630,B16,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.260171329999995,1.72,0.30354872109876174,0.04960792388671553,0.5539307209127541,1.0,,,
ASO1-95_total_1.2-6_20210630,B17,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.705106230000002,2.17,0.22221067029164257,0.04960792388671553,1.220185332196286,1.0,,,
ASO1-95_total_1.2-6_20210630,B18,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.215031580000002,1.68,0.31208263722540297,0.04960792388671553,0.7400694031890592,1.0,,,
ASO1-95_WT_1.2-6_20210630,B13,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.4365351,1.01,0.49654624771851796,0.184545182081762,0.9167008235832792,1.0,,,
ASO1-95_WT_1.2-6_20210630,B14,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,8.788039140000002,0.36,0.7791645796604999,0.184545182081762,0.9535188705645601,1.0,,,
ASO1-95_WT_1.2-6_20210630,B15,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.63767575,1.21,0.4322686156539326,0.184545182081762,1.342056434998658,1.0,,,
ASO1-95_WT_1.2-6_20210630,B16,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.197777160000001,0.77,0.5864174746159394,0.10032169585479439,0.32198024291234406,1.0,,,
ASO1-95_WT_1.2-6_20210630,B17,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,8.860038909999997,0.43,0.7422617853145246,0.10032169585479439,0.7093155583424118,1.0,,,
ASO1-95_WT_1.2-6_20210630,B18,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,8.79636464,0.37,0.7737824967711949,0.10032169585479439,0.9179030725873056,1.0,,,
ASO1-95_MT_1.2-6_20210630,B13,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,10.275572109999999,2.34,0.1975103279658443,0.061259451309050694,0.9940228593238972,1.0,,,
ASO1-95_MT_1.2-6_20210630,B14,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.745788870000002,1.81,0.2851909289671059,0.061259451309050694,0.14674903230500141,1.0,,,
ASO1-95_MT_1.2-6_20210630,B15,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,10.5176233,2.58,0.167240944348264,0.061259451309050694,1.2865214987755282,1.0,,,
ASO1-95_MT_1.2-6_20210630,B16,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.43587141,1.5,0.3535533905932738,0.04459062546307411,0.5138500491908276,1.0,,,
ASO1-95_MT_1.2-6_20210630,B17,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.402492769999999,1.46,0.36349312933007766,0.04459062546307411,0.6098995787666867,1.0,,,
ASO1-95_MT_1.2-6_20210630,B18,ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,9.14001776,1.2,0.43527528164806206,0.04459062546307411,1.3035437624469155,1.0,,,
ASO1-95_total_1.2-6_20210630,B19,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.599521199999998,2.06,0.23981602983131609,0.029418841522418762,0.4218845724208214,1.0,,,
ASO1-95_total_1.2-6_20210630,B20,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.640510610000003,2.1,0.23325824788420185,0.029418841522418762,0.5020520872654601,1.0,,,
ASO1-95_total_1.2-6_20210630,B21,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.33793309,1.8,0.2871745887492587,0.029418841522418762,0.1570639204831814,1.0,,,
ASO1-95_total_1.2-6_20210630,B22,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,10.19138564,2.65,0.15932007841490778,0.12062881932482049,1.405930768550895,1.0,,,
ASO1-95_total_1.2-6_20210630,B23,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.109216650000004,1.57,0.33680839421642256,0.12062881932482049,0.7638268273126381,1.0,,,
ASO1-95_total_1.2-6_20210630,B24,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,8.896724860000003,1.36,0.3895822898302499,0.12062881932482049,1.4089766804413577,1.0,,,
ASO1-95_WT_1.2-6_20210630,B19,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.0018696,0.57,0.6736167884328451,0.09081518946427022,0.40948534771352946,1.0,,,
ASO1-95_WT_1.2-6_20210630,B20,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,8.977820909999998,0.55,0.6830201283771977,0.09081518946427022,0.5055612477821007,1.0,,,
ASO1-95_WT_1.2-6_20210630,B21,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.37413515,0.94,0.5212328804205607,0.09081518946427022,1.1474530597976482,1.0,,,
ASO1-95_WT_1.2-6_20210630,B22,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.384721709999997,0.96,0.5140569133280333,0.12461327961547655,1.220771423417064,1.0,,,
ASO1-95_WT_1.2-6_20210630,B23,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.059925960000001,0.63,0.6461764153187461,0.12461327961547655,0.12912128975582385,1.0,,,
ASO1-95_WT_1.2-6_20210630,B24,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,8.817606710000003,0.39,0.7631296044802796,0.12461327961547655,1.3240565979632513,1.0,,,
ASO1-95_MT_1.2-6_20210630,B19,ASO12_3,KQ279_L20_5-10-5_3uM_P1.2-1,9.673410950000005,1.73,0.3014519569226901,0.0580697870262124,0.06790929962337505,1.0,,,
