Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Exp,Avg.1,Unnamed: 12,Unnamed: 13
ASO121-144_MT_20210615,G18,Ionis676630_10_P11,Ionis676630_10_P11,37.2436069211055,29.752212512366,7.491394408739502,,,-0.5499309433432131,1.4640156170718368,,,
ASO121-144_MT_20210615,H16,Ionis676630_10_P11,Ionis676630_10_P11,37.2106640376811,30.1055096520622,7.105154385618899,,,-0.9361709664638163,1.913443055169342,1.2707761318042512,,
ASO121-144_MT_20210615,H17,Ionis676630_10_P11,Ionis676630_10_P11,37.6147144051429,30.1787259551269,7.435988450015998,,,-0.6053369020667176,1.5213339778078734,,,
ASO121-144_MT_20210615,H18,Ionis676630_10_P11,Ionis676630_10_P11,39.5232249798072,30.07664445619,9.446580523617204,,,1.4052551715344883,0.37755136243553844,,,
ASO121-144_MT_20210615,A1,ASO121_10,KQ985_10,33.7276098988104,25.5112240978537,8.2163858009567,,,0.1750604488739853,0.8857304062504396,0.9513998037129848,,
ASO121-144_MT_20210615,A2,ASO121_10,KQ985_10,33.7405889283573,25.5406528648572,8.199936063500097,,,0.15861071141738137,0.8958873786076335,,,
ASO121-144_MT_20210615,A3,ASO121_10,KQ985_10,33.5243939035694,25.584155996274,7.940237907295398,,,-0.10108744478731779,1.0725816262808816,,,
ASO121-144_MT_20210615,A4,ASO121_10,KQ985_10,34.1221224219223,25.6789793929414,8.443143028980899,,,0.40181767689818315,0.7569040455095294,0.655866069437197,,
ASO121-144_MT_20210615,A5,ASO121_10,KQ985_10,34.3722572042843,25.6950015571638,8.677255647120504,,,0.6359302950377881,0.6435257153580082,,,
ASO121-144_MT_20210615,A6,ASO121_10,KQ985_10,34.5884614537948,25.7289852820288,8.859476171766001,,,0.8181508196832858,0.5671684474440536,,,
ASO121-144_MT_20210615,A7,ASO121_3,KQ985_3,32.1001762344745,23.5760498826127,8.524126351861803,,,0.4828009997790872,0.7155869587232935,0.7378889637535656,,
ASO121-144_MT_20210615,A8,ASO121_3,KQ985_3,32.0442972279047,23.583714253481,8.460582974423701,,,0.41925762234098585,0.7478093307964276,,,
ASO121-144_MT_20210615,A9,ASO121_3,KQ985_3,32.0610405022528,23.6051980847297,8.455842417523101,,,0.4145170654403856,0.7502706017409756,,,
ASO121-144_MT_20210615,A10,ASO121_3,KQ985_3,32.2485932441002,23.8700692558645,8.378523988235699,,,0.3371986361529835,0.791576870827354,0.7859188900815809,,
ASO121-144_MT_20210615,A11,ASO121_3,KQ985_3,32.1821120664561,23.8558096546637,8.326302411792398,,,0.2849770597096821,0.8207546595245728,,,
ASO121-144_MT_20210615,A12,ASO121_3,KQ985_3,32.392744340866,23.9275543695056,8.465189971360402,,,0.4238646192776869,0.7454251398928158,,,
ASO121-144_MT_20210615,B1,ASO122_10,KQ436_10,33.6580174513338,24.7638271559181,8.894190295415697,,,0.8528649433329818,0.5536841224834478,0.6764533339906427,,
ASO121-144_MT_20210615,B2,ASO122_10,KQ436_10,33.6444920047179,24.7745068654898,8.869985139228096,,,0.82865978714538,0.5630520549875362,,,
ASO121-144_MT_20210615,B3,ASO122_10,KQ436_10,33.0392532855067,24.8660201550867,8.173233130420002,,,0.13190777833728617,0.9126238245009441,,,
ASO121-144_MT_20210615,B4,ASO122_10,KQ436_10,35.3015342858116,26.5383762559134,8.7631580298982,,,0.7218326778154847,0.6063267265601989,0.9853582697993737,,
ASO121-144_MT_20210615,B5,ASO122_10,KQ436_10,34.0337970359874,26.6578688587851,7.375928177202297,,,-0.6653971748804182,1.586004841285487,,,
ASO121-144_MT_20210615,B6,ASO122_10,KQ436_10,35.0780971314397,26.6479313928911,8.430165738548599,,,0.38884038646588337,0.763743241552435,,,
ASO121-144_MT_20210615,B7,ASO122_3,KQ436_3,32.5091633510346,23.5855161607214,8.9236471903132,,,0.8823218382304852,0.5424936522726268,0.6536661144258434,,
ASO121-144_MT_20210615,B8,ASO122_3,KQ436_3,32.0934082177027,23.5787636458234,8.514644571879302,,,0.4733192197965863,0.720305477455728,,,
ASO121-144_MT_20210615,B9,ASO122_3,KQ436_3,32.1797035081527,23.6200887930241,8.5596147151286,,,0.5182893630458842,0.6981992135491756,,,
ASO121-144_MT_20210615,B10,ASO122_3,KQ436_3,32.2422861140653,23.658267106148,8.584019007917302,,,0.5426936558345865,0.6864879701022412,0.6101443958065278,,
ASO121-144_MT_20210615,B11,ASO122_3,KQ436_3,32.5982408936175,23.7006710414347,8.897569852182801,,,0.856244500100086,0.5523886186514136,,,
ASO121-144_MT_20210615,B12,ASO122_3,KQ436_3,32.5257938307984,23.727056592475,8.798737238323397,,,0.757411886240682,0.5915565986659286,,,
ASO121-144_MT_20210615,C1,ASO123_10,KQ435_10,32.3242135948372,24.2033308831449,8.120882711692296,,,0.07955735960958066,0.9463479558777229,0.902176041991874,,
ASO121-144_MT_20210615,C2,ASO123_10,KQ435_10,32.5133151938486,24.2351718612565,8.278143332592098,,,0.2368179805093824,0.8486149615591301,,,
ASO121-144_MT_20210615,C3,ASO123_10,KQ435_10,32.487588943272,24.3126813590069,8.174907584265103,,,0.13358223218238763,0.9115652085387689,,,
ASO121-144_MT_20210615,C4,ASO123_10,KQ435_10,34.1517042363867,26.0710176547765,8.080686581610198,,,0.03936122952748278,0.9730856973682818,0.8404714665769867,,
ASO121-144_MT_20210615,C5,ASO123_10,KQ435_10,34.2486337482747,26.1000647950092,8.1485689532655,,,0.10724360118278398,0.9283600841041293,,,
ASO121-144_MT_20210615,C6,ASO123_10,KQ435_10,34.8916073438463,26.1605490874909,8.731058256355404,,,0.6897329042726881,0.6199686182585488,,,
ASO121-144_MT_20210615,C7,ASO123_3,KQ435_3,31.3179885301072,23.0156254542308,8.3023630758764,,,0.2610377237936845,0.8344874605741506,0.7600955930772039,,
ASO121-144_MT_20210615,C8,ASO123_3,KQ435_3,31.5226118980918,23.0056050973823,8.517006800709499,,,0.4756814486267835,0.7191270342912588,,,
ASO121-144_MT_20210615,C9,ASO123_3,KQ435_3,31.586595394051,23.084646829363,8.501948564688,,,0.4606232126052845,0.726672284366202,,,
ASO121-144_MT_20210615,C10,ASO123_3,KQ435_3,31.299960739761,23.1852270485179,8.114733691243103,,,0.07340833916038747,0.9503900655731328,0.9023285554881104,,
ASO121-144_MT_20210615,C11,ASO123_3,KQ435_3,31.3270678287529,23.236066102508,8.091001726244897,,,0.04967637416218196,0.9661530323922978,,,
ASO121-144_MT_20210615,C12,ASO123_3,KQ435_3,31.6291096479162,23.2485168448684,8.380592803047797,,,0.3392674509650817,0.7904425684989009,,,
ASO121-144_MT_20210615,D1,ASO124_10,KQ434_10,34.9256682170659,27.296328629515,7.6293395875508985,,,-0.411985764531817,1.33051591245,2.017860640124517,,
ASO121-144_MT_20210615,D2,ASO124_10,KQ434_10,34.0602459999649,27.4033131123826,6.656932887582297,,,-1.3843924645004186,2.610619980523757,,,
ASO121-144_MT_20210615,D3,ASO124_10,KQ434_10,34.4511346774519,27.4887238066469,6.962410870804998,,,-1.0789144812777174,2.1124460273997943,,,
ASO121-144_MT_20210615,D4,ASO124_10,KQ434_10,32.8071799093283,25.4032125030972,7.4039674062310965,,,-0.637357945851619,1.555477952217668,1.2747817316849996,,
ASO121-144_MT_20210615,D5,ASO124_10,KQ434_10,33.3271266869942,25.3978754256142,7.929251261379999,,,-0.11207409070271623,1.0807809049407393,,,
ASO121-144_MT_20210615,D6,ASO124_10,KQ434_10,33.3714791101873,25.5787934382915,7.7926856718958035,,,-0.24863968018691196,1.1880863378965916,,,
ASO121-144_MT_20210615,D7,ASO124_3,KQ434_3,30.7626658501746,22.9739425485667,7.788723301607899,,,-0.25260205047481676,1.1913539090542158,1.1875850339286957,,
ASO121-144_MT_20210615,D8,ASO124_3,KQ434_3,30.8057134470338,22.9951580254926,7.810555421541199,,,-0.2307699305415163,1.1734610291861123,,,
ASO121-144_MT_20210615,D9,ASO124_3,KQ434_3,30.809405460285,23.0286359563025,7.780769503982498,,,-0.2605558481002177,1.197940163545759,,,
ASO121-144_MT_20210615,D10,ASO124_3,KQ434_3,31.2710345642233,23.1796573788112,8.0913771854121,,,0.05005183332938401,0.9659016252660171,0.8646787068689378,,
ASO121-144_MT_20210615,D11,ASO124_3,KQ434_3,31.3813479693561,23.2043104342606,8.1770375350955,,,0.1357121830127852,0.9102203945125078,,,
ASO121-144_MT_20210615,D12,ASO124_3,KQ434_3,31.8122578285661,23.2928156160027,8.519442212563401,,,0.4781168604806858,0.7179141008282887,,,
ASO121-144_MT_20210615,E1,ASO125_10,KQ433_10,34.702764665209,26.6694381574732,8.033326507735804,,,-0.007998844346911227,1.005559774906876,1.3586015632637667,,
ASO121-144_MT_20210615,E2,ASO125_10,KQ433_10,34.5860674115984,26.7039614786467,7.882105932951699,,,-0.15921941913101634,1.1166827850759418,,,
ASO121-144_MT_20210615,E3,ASO125_10,KQ433_10,33.8542706603996,26.7790524470948,7.075218213304801,,,-0.9661071387779145,1.9535621298084827,,,
