Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO505-528_MT_20210623,G10,Ionis1375651_10_P43,Ionis1375651_10uM_P43,36.6580550019895,27.8097585206338,8.848296481355703,,,1.5374799456714765,1.175898820323806,0.4426079223603803,,,,
ASO505-528_MT_20210623,G11,Ionis1375651_10_P43,Ionis1375651_10uM_P43,36.5512081385129,27.8040502812463,8.747157857266597,,,1.4363413215823702,,,,,,
ASO505-528_MT_20210623,G12,Ionis1375651_10_P43,Ionis1375651_10uM_P43,35.7540789201828,27.889387190781,7.864691729401798,,,0.5538751937175714,,,,,,
ASO505-528_MT_20210623,H10,Ionis1375651_10_P43,Ionis1375651_10uM_P43,35.8605725162003,28.1066362092192,7.7539363069811,,,0.44311977129687286,0.41353496214360713,0.750781516430214,,,,
ASO505-528_MT_20210623,H11,Ionis1375651_10_P43,Ionis1375651_10uM_P43,35.6641395242412,28.1622437332226,7.501895791018601,,,0.1910792553343743,,,,,,
ASO505-528_MT_20210623,H12,Ionis1375651_10_P43,Ionis1375651_10uM_P43,36.1235706752096,28.2063482797258,7.917222395483801,,,0.6064058597995743,,,,,,
ASO505-528_MT_20210623,G13,Ionis1375651_3_P43,Ionis1375651_3uM_P43,33.7104846758433,26.8450187492943,6.865465926548996,,,-0.4453506091352306,0.010360004644671387,0.992844713821592,,,,
ASO505-528_MT_20210623,G14,Ionis1375651_3_P43,Ionis1375651_3uM_P43,34.4686479300622,26.9166349040153,7.552013026046897,,,0.24119649036267,,,,,,
ASO505-528_MT_20210623,G15,Ionis1375651_3_P43,Ionis1375651_3uM_P43,34.4753415955101,26.9292909271193,7.5460506683908015,,,0.23523413270657478,,,,,,
ASO505-528_MT_20210623,H13,Ionis1375651_3_P43,Ionis1375651_3uM_P43,34.9459963977654,27.550476817291,7.395519580474399,,,0.08470304479017265,0.10975166660240454,0.9267475706986584,,,,
ASO505-528_MT_20210623,H14,Ionis1375651_3_P43,Ionis1375651_3uM_P43,34.7456578219064,27.5905328228873,7.1551249990190975,,,-0.15569153666512925,,,,,,
