Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO433-456_total_20210622,A5,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.920486133956,28.1654793913889,7.755006742567097,,,,0.05928074697571262,,
ASO433-456_total_20210622,A6,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.0392499773687,28.1860768512628,7.853173126105897,,,,0.15744713051451242,,
ASO433-456_total_20210622,A7,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.0598774405846,24.2569071832141,8.8029702573705,,,,1.1072442617791154,0.938891690839584,0.5216334565037595
ASO433-456_total_20210622,A8,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,32.8434653351183,24.2212291187284,8.622236216389904,,,,0.9265102207985194,,
ASO433-456_total_20210622,A9,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,32.7424180797473,24.2637714942148,8.478646585532502,,,,0.7829205899411171,,
ASO433-456_total_20210622,A10,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.8355181044608,24.7146576186331,9.120860485827702,,,,1.4251344902363172,1.3547269376527495,0.3910088217375727
ASO433-456_total_20210622,A11,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,34.1179222645915,24.6633749919519,9.454547272639598,,,,1.758821277048213,,
ASO433-456_total_20210622,A12,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.2665216211167,24.6905705798516,8.575951041265103,,,,0.8802250456737184,,
ASO433-456_total_20210622,B1,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,33.3865998920357,25.5473456916747,7.8392542003609975,,,,0.1435282047696127,0.6936521463838806,0.6182866899140077
ASO433-456_total_20210622,B2,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.1832607174266,25.5147118096804,8.6685489077462,,,,0.9728229121548146,,
ASO433-456_total_20210622,B3,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.1669043589663,25.5065730411477,8.6603313178186,,,,0.9646053222272144,,
ASO433-456_total_20210622,B4,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.007615088204,25.8425418555565,8.165073232647497,,,,0.4693472370561125,0.8439597608496486,0.5571123639780473
ASO433-456_total_20210622,B5,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.2211111468075,25.8661348300894,8.354976316718101,,,,0.6592503211267164,,
ASO433-456_total_20210622,B6,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.9522154072281,25.8532076872706,9.099007719957502,,,,1.403281724366117,,
ASO433-456_total_20210622,B7,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.917051264968,22.8926797381924,9.0243715267756,,,,1.3286455311842147,1.351405321996315,0.3919101052878894
ASO433-456_total_20210622,B8,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.0566069016891,22.8498268811842,9.206780020504901,,,,1.5110540249135163,,
ASO433-456_total_20210622,B9,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.7628619865055,22.8526195810229,8.910242405482599,,,,1.214516409891214,,
ASO433-456_total_20210622,B10,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.1882232308155,23.1730298246899,9.015193406125604,,,,1.3194674105342195,1.3162672335369159,0.40157260732238437
ASO433-456_total_20210622,B11,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.0600809797922,23.1103154532551,8.949765526537096,,,,1.254039530945711,,
ASO433-456_total_20210622,B12,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.2653519572624,23.1943312025402,9.071020754722202,,,,1.3752947591308171,,
ASO433-456_total_20210622,C1,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,34.0374891506936,28.4792398655946,5.558249285099002,,,,-2.1374767104923826,-2.1910787867831516,4.5664682003465895
ASO433-456_total_20210622,C2,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,33.9355610527604,28.5481767142689,5.387384338491497,,,,-2.308341657099888,,
ASO433-456_total_20210622,C3,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,34.1010894565631,28.5327814537289,5.5683080028342005,,,,-2.1274179927571844,,
ASO433-456_total_20210622,C4,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.9358960374394,29.3309863356504,6.604909701788998,,,,-1.090816293802387,-1.3721967084111182,2.5886442410601784
ASO433-456_total_20210622,C5,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.1434367347841,29.345214942633,5.798221792151104,,,,-1.8975042034402811,,
ASO433-456_total_20210622,C6,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.8377039225718,29.2702475549711,6.567456367600698,,,,-1.1282696279906865,,
