Unnamed: 0,10uM,Unnamed: 2,3uM,Unnamed: 4,Unnamed: 5,Unnamed: 6,10uM.1,Unnamed: 8,3uM.1,Unnamed: 10,Unnamed: 11,Unnamed: 12,10uM.2,Unnamed: 14,3uM.2,Unnamed: 16,Unnamed: 17,Unnamed: 18
ID,MT,,,,,,Total,,,,,,WT,,,,,
KQJM134_L18_5-08-5_3uM_P33,,,0.8384209768500093,0.9031907105738298,,,,,0.6199742354057995,0.7349268631945286,,,,,0.8351525693952228,0.9693663157983979,,
KQJM135_L17_5-08-4_10uM_P33,0.6900905718539737,0.7418386593932093,,,,,0.43812062898990206,0.4509650749719104,,,,,0.7359043606454303,0.7898838770082549,,,,
KQJM135_L17_5-08-4_3uM_P33,,,0.8604556771454952,1.2507595658786612,,,,,0.6346530809830649,1.0248041214813703,,,,,0.858621370450288,1.1575635482012456,,
KQJM136_L18_4-10-4_10uM_P33,0.8107448770598482,0.6481702241931455,,,,,0.4157741046743802,0.3849159629838669,,,,,0.8071458436010104,0.7033190566309301,,,,
KQJM136_L18_4-10-4_3uM_P33,,,0.661983774984027,0.8170606212190162,,,,,0.45492322979689975,0.4962569359134824,,,,,0.6047551215569086,0.7811362055815967,,
KQJM137_L18_5-08-5_10uM_P33,2.154571766991377,0.5930083601189801,,,,,1.4893129845246225,0.28473334227517955,,,,,2.196487784927122,0.6411545272843344,,,,
KQJM137_L18_5-08-5_3uM_P33,,,0.8952835734529779,0.676938731849668,,,,,0.585311981746666,0.38088582290044165,,,,,0.9125878373384632,0.6660696941403479,,
KQJM138_L17_5-08-4_10uM_P33,0.5713134443026434,0.6446055126346378,,,,,0.33322263712931127,0.41221865128603635,,,,,0.6032482046188946,0.7033520323150261,,,,
KQJM138_L17_5-08-4_3uM_P33,,,0.8576567766902882,0.7796356198321203,,,,,0.5729329961482418,0.5300076949559159,,,,,0.8258086588538908,0.6884467246069486,,
KQJM139_L18_4-10-4_10uM_P33,0.6864458770989019,1.6618802539562347,,,,,0.25445615486105555,1.0047696127551484,,,,,0.6488343038445922,1.7959525378414043,,,,
KQJM139_L18_4-10-4_3uM_P33,,,0.78378433266205,0.9093926846996288,,,,,0.3618501859089606,0.5279344697962078,,,,,0.8501765252996756,0.8587373728401443,,
KQJM140_L17_5-08-4_10uM_P33,0.6339381722141978,0.5829905278015641,,,,,0.3141565423764061,0.23412414674685503,,,,,0.6862302997553099,0.6015096191027924,,,,
KQJM140_L17_5-08-4_3uM_P33,,,0.7589553114453292,0.6593765585450906,,,,,0.43261546711627746,0.3685278372666469,,,,,0.6531018351474059,0.6127175138247719,,
KQJM141_L18_4-10-4_10uM_P33,1.4198156449176622,0.7063616644824476,,,,,1.1383748830444749,0.38555394037511553,,,,,1.3916205391621144,0.6972894716795599,,,,
KQJM141_L18_4-10-4_3uM_P33,,,0.9446043570024883,1.0643982991572387,,,,,0.607608405790702,0.7588600347413208,,,,,0.908914938453267,1.0889987716885994,,
,,,,,,,,,,,,,,,,,,
,10uM,,3uM,,,,10uM,,3uM,,,,10uM,,3uM,,,
Naïve_P34,0.9906577473421038,1.1375571043202952,1.04372043038118,0.9244197749675316,0.9122635555728775,1.008159891199675,1.06465151791191,1.136292897194109,1.0263426728102798,0.9352823181922926,0.8887864779478349,0.9688793096538469,0.9896970570159263,1.0995540781908746,1.0514600098238442,0.9656810074646442,0.9148337371041804,0.9892646845318519
Ionis1375651_10uM_P34,0.44464295748254284,0.23490360724114345,,,,,0.27226066179959885,0.09198517531946289,,,,,0.3678657286994164,0.21408300887284604,,,,
Ionis1375651_3uM_P34,,,0.792400034312145,1.6512023533838804,,,,,0.7328552311559632,1.2158626372192711,,,,,0.8023286580998752,1.6847311722208056,,
Ionis676630_10uM_P34,2.145101869266078,0.8792925231052839,,,,,1.7297568050179362,0.4082736150388234,,,,,2.2223480946142424,0.8850533107672817,,,,
KQJM142_L18_5-08-5_10uM_P34,0.9085572465195867,0.9421923846792406,,,,,0.4361466385424166,0.4287820636786276,,,,,0.9911000019449384,1.010188985652251,,,,
KQJM142_L18_5-08-5_3uM_P34,,,1.0270738724566166,0.9299241512928541,,,,,0.659150506038335,0.5617266426864612,,,,,1.094874231948115,0.8848488799403713,,
KQJM143_L17_4-10-3_10uM_P34,1.0697618875099666,1.5622300222349235,,,,,0.7044469367857293,1.0144246467667024,,,,,0.9701494720579887,1.597938758231773,,,,
KQJM143_L17_4-10-3_3uM_P34,,,0.8326435186434411,0.6960003566087409,,,,,0.6048258543050482,0.4935897908618486,,,,,0.8047288500136445,0.7373592616948095,,
KQJM144_L17_4-10-3_10uM_P34,1.7755814079770056,0.6075196692209182,,,,,1.4101044388503412,0.40426395439339274,,,,,1.8522559906840363,0.6289121356419349,,,,
KQJM144_L17_4-10-3_3uM_P34,,,0.7114970082137971,0.7062781924218293,,,,,0.5750664409251263,0.5349756375142714,,,,,0.6849689715680343,0.6577067231024115,,
KQJM145_L18_4-10-4_10uM_P34,0.7082455004390146,0.7341927717956853,,,,,0.3670419334071891,0.4128088731010506,,,,,0.7347773382987843,0.7184614633350465,,,,
KQJM145_L18_4-10-4_3uM_P34,,,0.6015104522348809,0.6953741063092844,,,,,0.4666697624918677,0.4938456190927316,,,,,0.6174621620209504,0.6902030293852671,,
KQJM146_L18_5-08-5_10uM_P34,0.5197879115178651,1.4720635821928671,,,,,0.2966044133188239,1.0575427189649698,,,,,0.5278790920659282,1.4083200538959793,,,,
