ASO Microsynth ID ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQJM105_L19_6-08-5_10uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_10uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,0.2506699404708478,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,0.25875952707739297,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,,,,,,,,,,
KQJM105_L19_6-08-5_3uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,0.20652810674670452,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,0.13032332890679812,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_10uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,0.32735815947551494,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,0.3188289231259455,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,,,,,,,,,,
KQJM106_L17_5-08-4_3uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,0.31597297321080164,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,0.3510868145776225,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_10uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_3uM_P31,0.4195256326721799,,,,,,,,,
KQJM107_L18_4-10-4_3uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_3uM_P31,,,,,,,,,,
KQJM107_L18_4-10-4_3uM_P31,0.42714466416481833,,,,,,,,,
