SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,MT zscore range,WT Avg Exp,WT zscore range,Tier
ASO622_10_R3.1P3-1,KQ352_L20_5-10-5_10uM_R3.1P3-1,3-1,0.36065822193277985,0.4910482746152503,0.6476244690023802,0.7829553688685064,030060
ASO570_10_R3.1P1-1,KQ2207_L20_6-08-6_10uM_R3.1P1-1,1-1,0.3070503189317294,0.2686789786471161,0.7305166781473292,1.25786596718146,030070
ASO574_10_R3.1P1-1,KQ2211_L19_5-09-5_10uM_R3.1P1-1,1-1,0.44114301800023475,1.4464866207229017,0.20264554945092228,1.7254661423525617,040020
ASO147_10_R3.1P2-1,KQ457_L20_5-10-5_10uM_R3.1P2-1,2-1,0.4522570672265928,1.3235719003535606,0.42179440321794565,1.7421483067603765,040040
ASO149_10_R3.1P2-2,KQ455_L20_5-10-5_10uM_R3.1P2-2,2-2,0.4320333077310052,0.8159882747879903,0.4563806830165025,1.2942828538386766,040040
ASO183_10_R3.1P2-2,KQ354_L20_5-10-5_10uM_R3.1P2-2,2-2,0.4637429234055665,1.4462317734300676,0.4273005413081116,1.1716253191459138,040040
ASO185_10_R3.1P3-2,KQ353_L20_5-10-5_10uM_R3.1P3-2,3-2,0.44949479219036925,0.6336966739991432,0.5800719874037665,1.4622047399407296,040050
ASO188_10_R3.1P3-2,KQ480_L20_5-10-5_10uM_R3.1P3-2,3-2,0.47493865902240223,1.0051434265412236,0.5923394862765139,0.911653450639988,040050
ASO589_10_R3.1P4-1,KQ2242_L20_5-09-6_10uM_R3.1P4-1,4-1,0.403587582395092,0.0479501517536411,0.5711780342773197,0.3333637782420428,040050
ASO577_10_R3.1P3-2,KQ2221_L20_6-08-6_10uM_R3.1P3-2,3-2,0.4422234032985835,0.6864619317789955,0.6139452135763966,1.575189424930601,040060
ASO587_10_R3.1P4-1,KQ2233_L19_5-09-5_10uM_R3.1P4-1,4-1,0.47933398969662194,1.643403742068517,0.6823860188464085,0.025163763872964,040060
ASO597_10_R3.1P4-1,KQ2250_L19_5-09-5_10uM_R3.1P4-1,4-1,0.42639141862580127,1.5531173984744848,0.6060711410573086,0.4739596212278624,040060
ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,1-2,0.42267501365901045,1.1902881503355247,0.7317437539368257,0.1670135402264526,040070
ASO147_10_R3.1P2-2,KQ457_L20_5-10-5_10uM_R3.1P2-2,2-2,0.5395677126322364,0.7650308546833813,0.5486029003922298,1.1027359128298593,050050
ASO148_10_R3.1P2-1,KQ456_L20_5-10-5_10uM_R3.1P2-1,2-1,0.5785271865966054,1.7898865198187095,0.5471291168509073,0.6953841596793067,050050
ASO148_10_R3.1P2-2,KQ456_L20_5-10-5_10uM_R3.1P2-2,2-2,0.5791245707916034,0.5820276972465696,0.5918131455710346,1.6650181513416116,050050
ASO149_10_R3.1P2-1,KQ455_L20_5-10-5_10uM_R3.1P2-1,2-1,0.5901991005253854,1.1650934012046386,0.5261943042807541,0.7181931301232993,050050
ASO150_10_R3.1P2-2,KQ292_L20_5-10-5_10uM_R3.1P2-2,2-2,0.5502006845463969,0.3537075065064142,0.5622667814462451,1.010977701518346,050050
ASO580_10_R3.1P3-2,KQ2224_L20_5-09-6_10uM_R3.1P3-2,3-2,0.550328857712798,1.554477450438112,0.6282344350176071,0.2335071635428568,050060
ASO586_10_R3.1P4-1,KQ2232_L19_5-09-5_10uM_R3.1P4-1,4-1,0.5404935608616316,0.0823849069571812,0.6910905172007199,0.6833972689951117,050060
ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,1-1,0.5046942361310781,0.7876886058050979,0.801067683801197,1.0679062885887851,050080
ASO582_10_R3.1P4-1,KQ2226_L20_6-08-6_10uM_R3.1P4-1,4-1,0.6990377423369712,1.7111306456661728,0.8479868165054665,1.688447669750853,060080
ASO184_10_R3.1P2-2,KQ274_L20_5-10-5_10uM_R3.1P2-2,2-2,0.9014402795831211,1.684114086454442,1.017659863104732,0.8592086693964978,090100
ASO622_10_R3.1P3-2,KQ352_L20_5-10-5_10uM_R3.1P3-2,3-2,1.2664254859615944,1.4142135623730951,0.5983584707679693,0.8034357502547864,100050
ASO184_10_R3.1P2-1,KQ274_L20_5-10-5_10uM_R3.1P2-1,2-1,4.3148233223978165,,,,100100
