Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp
Exp_40_WT_1,KQ332_10uM,KQ332_10uM,8.305,6.7795,1.5255,0.347359149
Exp_40_WT_1,KQ501_10uM,KQ501_10uM,7.288,6.7795,0.5085,0.702952933
Exp_40_WT_1,KQ480_10uM,KQ480_10uM,7.396,6.7795,0.6165,0.652251382
Exp_40_WT_1,KQJM071_10uM,KQJM071_10uM,7.093,6.7795,0.3135,0.804687206
Exp_40_WT_1,KQ921_10uM,KQ921_10uM,6.963,6.7795,0.1835,0.880564141
Exp_40_WT_1,KQ258_10uM,KQ258_10uM,7.732,6.7795,0.9525,0.51673625
Exp_40_WT_1,KQ955_10uM,KQ955_10uM,8.305,6.7795,1.5255,0.347359149
Exp_40_WT_1,KQ995_10uM,KQ995_10uM,7.443,6.7795,0.6635,0.631344786
Exp_40_WT_1,KQ928_10uM,KQ928_10uM,7.068,6.7795,0.2885,0.818752891
Exp_40_WT_1,KQ371_10uM,KQ371_10uM,7.733,6.7795,0.9535,0.5163782
Exp_40_WT_1,Ionis 676630_10uM,Ionis 676630_10uM,6.849,6.7795,0.0695,0.952968214
Exp_40_WT_1,KQ957_10uM,KQ957_10uM,8.154,6.7795,1.3745,0.385686352
Exp_40_WT_1,KQ288_10uM,KQ288_10uM,7.41,6.7795,0.6305,0.645952506
Exp_40_WT_1,KQ980_10uM,KQ980_10uM,7.1,6.7795,0.3205,0.800792296
Exp_40_WT_1,KQ280_10uM,KQ280_10uM,7.308,6.7795,0.5285,0.693275172
Exp_40_WT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,9.571,6.7795,2.7915,0.144435772
Exp_40_WT_1,KQ956_10uM,KQ956_10uM,8.287,6.7795,1.5075,0.351720176
Exp_40_WT_1,KQ426_10uM,KQ426_10uM,7.001,6.7795,0.2215,0.857673232
Exp_40_WT_1,KQJM069_10uM,KQJM069_10uM,6.964,6.7795,0.1845,0.879953992
Exp_40_WT_1,KQ372_10uM,KQ372_10uM,7.268,6.7795,0.4885,0.71276579
Exp_40_WT_2,Naive_1,Naive_1,6.861,6.5805,0.2805,0.823305632
Exp_40_WT_2,Naive_2,Naive_2,6.3,6.5805,-0.2805,1.214615765
Exp_40_WT_2,KQ958_10uM,KQ958_10uM,6.948,6.5805,0.3675,0.775124522
Exp_40_WT_2,KQ106_10uM,KQ106_10uM,7.022,6.5805,0.4415,0.736368593
Exp_40_WT_2,KQ830_10uM,KQ830_10uM,6.593,6.5805,0.0125,0.991373087
Exp_40_WT_2,KQ373_10uM,KQ373_10uM,8.409,6.5805,1.8285,0.28155721
Exp_40_WT_2,KQ500_10uM,KQ500_10uM,7.348,6.5805,0.7675,0.58743454
Exp_40_WT_2,KQ479_10uM,KQ479_10uM,6.922,6.5805,0.3415,0.789220316
Exp_40_WT_2,KQ105_10uM,KQ105_10uM,7.016,6.5805,0.4355,0.739437441
Exp_40_WT_2,KQ920_10uM,KQ920_10uM,6.846,6.5805,0.2655,0.831910367
Exp_40_WT_2,KQ332_10uM,KQ332_10uM,7.363,6.5805,0.7825,0.581358502
Exp_40_WT_2,KQ501_10uM,KQ501_10uM,7.11,6.5805,0.5295,0.692794797
Exp_40_WT_2,KQ480_10uM,KQ480_10uM,7.016,6.5805,0.4355,0.739437441
Exp_40_WT_2,KQJM071_10uM,KQJM071_10uM,6.745,6.5805,0.1645,0.892237692
Exp_40_WT_2,KQ921_10uM,KQ921_10uM,6.842,6.5805,0.2615,0.834220112
Exp_40_WT_2,KQ258_10uM,KQ258_10uM,7.651,6.5805,1.0705,0.476153948
Exp_40_WT_2,KQ955_10uM,KQ955_10uM,7.964,6.5805,1.3835,0.383287804
Exp_40_WT_2,KQ995_10uM,KQ995_10uM,7.214,6.5805,0.6335,0.644610682
Exp_40_WT_2,KQ928_10uM,KQ928_10uM,6.992,6.5805,0.4115,0.751841262
Exp_40_WT_2,KQ371_10uM,KQ371_10uM,7.594,6.5805,1.0135,0.495343079
Exp_40_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.513,6.5805,0.9325,0.523949619
Exp_40_WT_2,KQ957_10uM,KQ957_10uM,7.749,6.5805,1.1685,0.444883655
Exp_40_WT_2,KQ288_10uM,KQ288_10uM,7.313,6.5805,0.7325,0.601860066
Exp_40_WT_2,KQ980_10uM,KQ980_10uM,7.017,6.5805,0.4365,0.738925079
Exp_40_WT_2,KQ280_10uM,KQ280_10uM,7.011,6.5805,0.4305,0.742004582
Exp_40_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,8.832,6.5805,2.2515,0.210005643
Exp_40_WT_2,KQ956_10uM,KQ956_10uM,7.851,6.5805,1.2705,0.414516088
Exp_40_WT_2,KQ426_10uM,KQ426_10uM,7.488,6.5805,0.9075,0.533108097
Exp_40_WT_2,KQJM069_10uM,KQJM069_10uM,6.794,6.5805,0.2135,0.862442393
Exp_40_WT_2,KQ372_10uM,KQ372_10uM,7.211,6.5805,0.6305,0.645952506
