SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
ASO402_10,KQJM147_L17_4-10-3_10uM_P34,34.0,
ASO403_10,KQJM148_L17_5-08-4_10uM_P34,34.0,
ASO405_10,KQJM151_L18_5-08-5_10uM_P34,34.0,
ASO406_10,KQJM152_L19_6-08-5_10uM_P34,34.0,
ASO408_10,KQJM154_L17_5-08-4_10uM_P34,34.0,
ASO409_10,KQJM162_L18_5-08-5_10uM_P35,35.0,
ASO40_10,KQ331_10,4.0,
ASO411_10,KQJM164_L19_6-08-5_10uM_P35,35.0,
ASO412_10,KQJM165_L19_5-10-4_10uM_P35,35.0,
ASO413_10,KQJM166_L19_6-08-5_10uM_P35,35.0,
ASO414_10,KQJM167_L18_5-08-5_10uM_P35,35.0,
ASO416_10,KQJM169_L19_6-08-5_10uM_P35,35.0,
ASO417_10,KQJM176_L17_4-10-3_10uM_P35,35.0,
ASO419_10,KQJM178_L17_4-10-3_10uM_P35,35.0,
ASO41_10,KQ254_10,4.0,
ASO420_10,KQJM179_L17_4-10-3_10uM_P35,35.0,
ASO421_10,KQ2001_L21_6-10-5_10uM_P36,36.0,
ASO422_10,KQ2002_L21_6-10-5_10uM_P36,36.0,
ASO423_10,KQ2003_L21_6-10-5_10uM_P36,36.0,
ASO424_10,KQ2004_L21_6-10-5_10uM_P36,36.0,
ASO425_10,KQ2005_L21_6-10-5_10uM_P36,36.0,
ASO426_10,KQ2006_L21_6-10-5_10uM_P36,36.0,
ASO42_10,KQ316_10,4.0,
ASO432_10,KQ2012_L21_6-10-5_10uM_P36,36.0,
ASO440_10,KQ2020_L19_5-10-4_10uM_P37,37.0,
ASO444_10,KQ2024_L21_6-10-5_10uM_P37,37.0,
ASO446_10,KQ2026_L21_6-10-5_10uM_P38,38.0,
ASO449_10,KQ2029_L21_6-10-5_10uM_P38,38.0,
ASO44_10,KQ315_10,4.0,
ASO455_10,KQ2035_L19_5-10-4_10uM_P38,38.0,
ASO457_10,KQ2037_L19_5-10-4_10uM_P39,39.0,
ASO458_10,KQ2038_L20_5-10-5_10uM_P39,39.0,
ASO461_10,KQ2041_L21_7-08-6_10uM_P39,39.0,
ASO462_10,KQ2042_L21_7-08-6_10uM_P39,39.0,
ASO464_10,KQ2044_L21_7-08-6_10uM_P39,39.0,
ASO465_10,KQ2045_L21_7-08-6_10uM_P39,39.0,
