Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO42-266_MT_1.2-7_20210701,B1,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.1973709,25.05311276,8.14,,,,0.55,0.67,0.63,,,
ASO42-266_MT_1.2-7_20210701,B2,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.49544942,25.05911711,8.44,,,,0.84,,,,,
ASO42-266_MT_1.2-7_20210701,B3,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.29841212,25.09224701,8.21,,,,0.61,,,,,
ASO42-266_MT_1.2-7_20210701,B4,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.77336564,25.0772596,8.70,,,,1.10,1.21,0.43,,,
ASO42-266_MT_1.2-7_20210701,B5,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.95383739,25.05286986,8.90,,,,1.31,,,,,
ASO42-266_MT_1.2-7_20210701,B6,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.8719606,25.05086444,8.82,,,,1.23,,,,,
ASO42-266_MT_1.2-7_20210701,B7,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,31.03040086,22.7636444,8.27,,,,0.67,0.56,0.68,,,
ASO42-266_MT_1.2-7_20210701,B8,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.90885512,22.75493267,8.15,,,,0.56,,,,,
ASO42-266_MT_1.2-7_20210701,B9,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.82594532,22.79465495,8.03,,,,0.44,,,,,
ASO42-266_MT_1.2-7_20210701,B10,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.99032887,22.87568821,8.11,,,,0.52,0.58,0.67,,,
ASO42-266_MT_1.2-7_20210701,B11,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,31.12936508,22.92026398,8.21,,,,0.62,,,,,
ASO42-266_MT_1.2-7_20210701,B12,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,31.1455348,22.9528748,8.19,,,,0.60,,,,,
ASO42-266_MT_1.2-7_20210701,B13,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,31.23801215,23.04735001,8.19,,,,0.60,0.71,0.61,,,
ASO42-266_MT_1.2-7_20210701,B14,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,31.24720297,22.89119847,8.36,,,,0.76,,,,,
ASO42-266_MT_1.2-7_20210701,B15,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,31.24371247,22.88392887,8.36,,,,0.77,,,,,
ASO42-266_MT_1.2-7_20210701,B16,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,30.87717251,22.86997086,8.01,,,,0.41,0.56,0.68,,,
ASO42-266_MT_1.2-7_20210701,B17,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,31.16049076,22.93907695,8.22,,,,0.63,,,,,
ASO42-266_MT_1.2-7_20210701,B18,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,31.15190537,22.91325275,8.24,,,,0.64,,,,,
ASO42-266_MT_1.2-7_20210701,B19,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.60050239,22.59399409,8.01,,,,0.41,0.46,0.73,,,
ASO42-266_MT_1.2-7_20210701,B20,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.54712456,22.40754834,8.14,,,,0.55,,,,,
ASO42-266_MT_1.2-7_20210701,B21,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.54384518,22.52027317,8.02,,,,0.43,,,,,
ASO42-266_MT_1.2-7_20210701,B22,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.63567804,22.65075707,7.98,,,,0.39,0.46,0.73,,,
ASO42-266_MT_1.2-7_20210701,B23,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.60261127,22.56113418,8.04,,,,0.45,,,,,
ASO42-266_MT_1.2-7_20210701,B24,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,30.78948942,22.65530775,8.13,,,,0.54,,,,,
ASO42-266_MT_1.2-7_20210701,C1,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,32.09173541,23.82089507,8.27,,,,0.68,0.52,0.70,,,
ASO42-266_MT_1.2-7_20210701,C2,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.91897203,23.85623445,8.06,,,,0.47,,,,,
ASO42-266_MT_1.2-7_20210701,C3,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.8800646,23.86028985,8.02,,,,0.43,,,,,
ASO42-266_MT_1.2-7_20210701,C4,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,32.1841185,23.52774779,8.66,,,,1.06,0.99,0.50,,,
ASO42-266_MT_1.2-7_20210701,C5,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,32.20832413,23.51096036,8.70,,,,1.10,,,,,
ASO42-266_MT_1.2-7_20210701,C6,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.93948933,23.5298002,8.41,,,,0.82,,,,,
ASO42-266_MT_1.2-7_20210701,C7,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,30.21825042,22.08572995,8.13,,,,0.54,0.52,0.70,,,
