Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO469-516_MT_1.2-4_20210630,G16,Ionis676630_10_P40,Ionis676630_10_P40,33.929132246345,24.948053149795,8.981079096549998,9.360127180316566,,,0.11705931321034058,0.4961073969769079,0.7090172352766826,,,
ASO469-516_MT_1.2-4_20210630,G17,Ionis676630_10_P40,Ionis676630_10_P40,34.2984418118878,24.9075047334112,9.390937078476597,,,,0.5269172951369399,,,,,
ASO469-516_MT_1.2-4_20210630,G18,Ionis676630_10_P40,Ionis676630_10_P40,34.7492949403831,25.04092957446,9.7083653659231,,,,0.8443455825834434,,,,,
ASO469-516_MT_1.2-4_20210630,H13,Ionis676630_10_P40,Ionis676630_10_P40,36.6736240251442,26.9479753696264,9.725648655517801,9.364528453057433,,,0.8616288721781444,0.5005086697177757,0.7068575113166939,,,
ASO469-516_MT_1.2-4_20210630,H14,Ionis676630_10_P40,Ionis676630_10_P40,36.0817840342823,26.8578687626023,9.22391527168,,,,0.35989548834034224,,,,,
ASO469-516_MT_1.2-4_20210630,H15,Ionis676630_10_P40,Ionis676630_10_P40,36.1117073491262,26.9676859171517,9.144021431974497,,,,0.28000164863484045,,,,,
ASO469-516_MT_1.2-4_20210630,H16,Ionis676630_10_P40,Ionis676630_10_P40,34.6177820871036,26.1985458746907,8.419236212412898,8.342436416347967,,,-0.44478357092675935,-0.5215833669916895,1.4355298869592756,,,
ASO469-516_MT_1.2-4_20210630,H17,Ionis676630_10_P40,Ionis676630_10_P40,34.3834369117801,26.1936869971536,8.189749914626503,,,,-0.6742698687131536,,,,,
ASO469-516_MT_1.2-4_20210630,H18,Ionis676630_10_P40,Ionis676630_10_P40,34.6308313519947,26.2125082299902,8.418323122004502,,,,-0.4456966613351554,,,,,
ASO469-516_MT_1.2-4_20210630,A1,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.0683564279665,24.0417262581099,9.026630169856599,,,,0.16261038651694193,0.12895627484174335,0.9144928055005568,,,
ASO469-516_MT_1.2-4_20210630,A2,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,32.7155801938785,24.0447658335455,8.670814360333,,,,-0.19320542300665622,,,,,
ASO469-516_MT_1.2-4_20210630,A3,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.3462921620795,24.0648085177249,9.281483644354601,,,,0.41746386101494437,,,,,
ASO469-516_MT_1.2-4_20210630,A4,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.1217627580815,24.246054486474,8.8757082716075,,,,0.011688488267843411,0.11418295957027406,0.923905397265236,,,
ASO469-516_MT_1.2-4_20210630,A5,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.0843699214268,24.2209712976077,8.863398623819098,,,,-0.0006211595205591891,,,,,
ASO469-516_MT_1.2-4_20210630,A6,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.3850296333712,24.189528300068,9.195501333303195,,,,0.33148154996353796,,,,,
