ASO Microsynth ID ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
KQ2054_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,0.6801241732221027,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,0.5335826358166018,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,0.39918791795466774,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,0.37144041313528575,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2055_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,0.3586837633848006,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,0.41596975814244264,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,0.5381830637070922,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,0.5831395239859819,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2056_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,0.5149213509395892,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,0.5796597424102027,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,0.5466803466417354,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,0.6138531061878012,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2057_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,0.49935171386348864,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,0.5077715570061632,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,0.4877024437652165,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,0.602189494548882,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2058_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,0.6352627719181446,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,0.4890842007386739,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_10uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,0.6614071626209788,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,0.9042453439703279,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2059_L21_7-08-6_3uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,0.661347967934984,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,0.48494104473377436,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_10uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,0.7507597150215825,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,0.8563056572174441,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,,,,,,,,,,
KQ2060_L19_6-08-5_3uM_P40,,,,,,,,,,
