Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P7+8_Total_20210726,I2,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.7759294979447,22.9786135307814,5.7973159671633,,,,-0.22222466526645057,,
Rd2.3_P7+8_Total_20210726,I3,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.7881342004454,22.935375295092,5.852758905353397,,,,-0.1667817270763532,,
Rd2.3_P7+8_Total_20210726,I13,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.5544920320244,22.8526705303901,5.701821501634299,,,,-0.3177191307954512,-0.3048827083521181,1.2353182012112027
Rd2.3_P7+8_Total_20210726,I14,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.6403358478008,22.9323825389748,5.707953308825999,,,,-0.3115873236037512,,
Rd2.3_P7+8_Total_20210726,I15,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,28.6510030197785,22.9168040580059,5.734198961772599,,,,-0.2853416706571519,,
Rd2.3_P7+8_Total_20210726,I7,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.3366002600091,22.7169654396478,5.6196348203612985,,,,-0.399905812068452,-0.44414554906785203,1.3605081029627712
Rd2.3_P7+8_Total_20210726,I8,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.256250458792,22.780978063669,5.475272395123,,,,-0.5442682373067509,,
Rd2.3_P7+8_Total_20210726,I9,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.4101279920137,22.7788499574123,5.631278034601397,,,,-0.38826259782835315,,
Rd2.3_P7+8_Total_20210726,I19,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.3243011982167,22.6830577592709,5.6412434389458,,,,-0.3782971934839505,-0.4035784692067512,1.322784888339562
Rd2.3_P7+8_Total_20210726,I20,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.3335412501982,22.7933910426161,5.540150207582098,,,,-0.4793904248476526,,
Rd2.3_P7+8_Total_20210726,I21,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.4844295665865,22.8179367234454,5.6664928431411,,,,-0.35304778928865055,,
Rd2.3_P7+8_Total_20210726,J1,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,28.8719881452598,22.8409586100098,6.031029535249999,,,,0.011488902820248725,0.10483188815208244,0.9299132956123819
Rd2.3_P7+8_Total_20210726,J2,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.1159598647634,22.9540271272756,6.161932737487799,,,,0.14239210505804856,,
Rd2.3_P7+8_Total_20210726,J3,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.1867703607666,23.0066150717589,6.1801552890077005,,,,0.16061465657795004,,
