Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,Avg,dCt,Unnamed: 7,Avg.1,SD,ddCt,Avg_ddCt,Exp
ASO433-456_WT_20210622,B12,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.3412673802126,23.1772676028587,9.1639997773539,,,,0.5494391089261157,,
ASO433-456_WT_20210622,C1,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.7174535635275,28.4259537266293,7.2914998368982005,,,,-1.3230608315295846,-1.3262463972803857,2.5074942582045168
ASO433-456_WT_20210622,C2,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.5960168015052,28.4191103383746,7.176906463130599,,,,-1.4376542052971857,,
ASO433-456_WT_20210622,C3,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.8102519834124,28.413715469999,7.396536513413398,,,,-1.2180241550143869,,
ASO433-456_WT_20210622,C4,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,36.6005360973413,29.4184210269428,7.182115070398499,,,,-1.432445598029286,-0.42391477267551875,1.3415629696019655
ASO433-456_WT_20210622,C5,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,36.8546987350885,29.3479687924093,7.506729942679197,,,,-1.1078307257485882,,
ASO433-456_WT_20210622,C6,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,39.1227553322998,29.2396626581207,9.883092674179103,,,,1.268532005751318,,
ASO433-456_WT_20210622,C7,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,34.6106026935422,26.5783617786153,8.032240914926899,,,,-0.5823197535008866,-0.7989416285625524,1.7398243107063263
ASO433-456_WT_20210622,C8,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,34.687070921126,26.5057276990446,8.181343222081402,,,,-0.43321744634638293,,
ASO433-456_WT_20210622,C9,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,33.8774382500119,26.6441652674245,7.233272982587398,,,,-1.3812876858403875,,
ASO433-456_WT_20210622,C10,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,34.3018212912774,27.044375298896,7.257445992381399,,,,-1.3571146760463861,-0.9758210569272509,1.9667601880135024
ASO433-456_WT_20210622,C11,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,34.6292222611362,27.0146020479647,7.614620213171499,,,,-0.9999404552562865,,
ASO433-456_WT_20210622,C12,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,34.9785299460743,26.9343773171256,8.044152628948705,,,,-0.57040803947908,,
ASO433-456_WT_20210622,D1,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,34.8491879440606,26.9384542365738,7.910733707486802,,,,-0.7038269609409831,-0.4956679123769175,1.409973367562428
ASO433-456_WT_20210622,D2,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,34.8203879649021,26.9801569271117,7.840231037790403,,,,-0.7743296306373821,,
ASO433-456_WT_20210622,D3,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.6185009855504,27.012787462675,8.605713522875398,,,,-0.008847145552387303,,
ASO433-456_WT_20210622,D4,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.9269766061658,27.7033282823901,8.223648323775702,,,,-0.390912344652083,-0.5463789381007196,1.4604155528499398
ASO433-456_WT_20210622,D5,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.2000509869009,27.555289889693,7.644761097207898,,,,-0.9697995712198875,,
ASO433-456_WT_20210622,D6,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.8488283857934,27.5126926157958,8.336135769997597,,,,-0.27842489843018825,,
ASO433-456_WT_20210622,D7,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9434633558591,24.0422659976277,8.901197358231403,,,,0.28663668980361834,0.4397631184647146,0.7372556514916643
ASO433-456_WT_20210622,D8,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9399558058297,23.9463362949486,8.993619510881096,,,,0.37905884245331123,,
ASO433-456_WT_20210622,D9,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,33.2261932337192,23.9580387421542,9.268154491565,,,,0.6535938231372143,,
ASO433-456_WT_20210622,D10,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,33.0160696417341,23.792227148367,9.223842493367098,,,,0.6092818249393126,0.533920842969214,0.6906751186305531
ASO433-456_WT_20210622,D11,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,33.3080393456189,23.8273190915369,9.480720254082001,,,,0.8661595856542164,,
ASO433-456_WT_20210622,D12,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.5961029266865,23.8552211399446,8.740881786741898,,,,0.12632111831411308,,
ASO433-456_WT_20210622,E1,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,36.4874672778791,26.7027677953739,9.784699482505196,,,,1.1701388140774114,0.7395406389551139,0.598930024154851
ASO433-456_WT_20210622,E2,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,35.4523810092313,26.7249855991194,8.727395410111903,,,,0.112834741684118,,
ASO433-456_WT_20210622,E3,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,36.282967444535,26.7327584150034,9.550209029531597,,,,0.9356483611038122,,
ASO433-456_WT_20210622,E4,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,35.7677063569156,26.8917891928612,8.875917164054403,,,,0.2613564956266181,0.561682936366149,0.6775113702509854
ASO433-456_WT_20210622,E5,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,35.9510686974166,26.7727760587621,9.1782926386545,,,,0.5637319702267156,,
ASO433-456_WT_20210622,E6,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,36.2578003138933,26.7832793022204,9.474521011672898,,,,0.8599603432451133,,
ASO433-456_WT_20210622,E7,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.7773826833844,24.1173587845181,9.660023898866303,,,,1.0454632304385179,0.6419277874245483,0.6408560386489884
ASO433-456_WT_20210622,E8,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.0584910989096,24.0368184840458,9.0216726148638,,,,0.40711194643601445,,
ASO433-456_WT_20210622,E9,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.1254222246223,24.0376533707954,9.087768853826898,,,,0.4732081853991126,,
ASO433-456_WT_20210622,E10,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.5231389115754,24.0323671718566,9.490771739718802,,,,0.8762110712910172,1.1144677362205482,0.46186152180353734
ASO433-456_WT_20210622,E11,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.974125476025,24.0222077133736,9.951917762651401,,,,1.3373570942236164,,
ASO433-456_WT_20210622,E12,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.8381581975075,24.0937624859327,9.744395711574796,,,,1.1298350431470112,,
ASO433-456_WT_20210622,F1,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,33.0869255876102,24.1874643113576,8.899461276252602,,,,0.28490060782481663,0.24154681081261367,0.8458379460237251
ASO433-456_WT_20210622,F2,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,32.9432531580515,24.2186016110941,8.724651546957396,,,,0.1100908785296113,,
ASO433-456_WT_20210622,F3,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,33.2110426003636,24.2668329858524,8.944209614511198,,,,0.3296489460834131,,
ASO433-456_WT_20210622,F4,ASO438_10,KQ2018_L19_5-10-4_10uM_P37,33.7104613590416,24.5267181773695,9.183743181672103,,,,0.5691825132443178,0.30036294959798343,0.812048077638758
