,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
10,Rd2.3_P1+2_Total_20210723,M12,KQ106_3_P2.3-2,KQ106_L20_5-10-5_3uM_P2.3-2,6.0503792041678,0.6874401148132421,0.6209546808638589,6.389911967280125,-0.3395327631123246,1.2653467274377057,0.13699040255973371,1.849812297327068
11,Rd2.3_P1+2_Total_20210723,I23,KQ928_3_P2.3-2,KQ928_L20_5-10-5_3uM_P2.3-2,6.294908237068398,0.93196914771384,0.5241424465166438,6.389911967280125,-0.09500373021172681,1.0680681696261116,0.039742668793167034,1.987216032945281
12,Rd2.3_P1+2_Total_20210723,N21,KQ980_3_P2.3-2,KQ980_L20_5-10-5_3uM_P2.3-2,6.9995400557026,1.6366009663480412,0.32161331327787945,6.389911967280125,0.6096280884224754,0.6553656265066216,0.05194650392236844,1.8487534982984528
13,Rd2.3_P1+2_WT_20210723,O3,Naive_P2.3-2,Naive_P2.3-2,5.814878763359598,-0.3113955926964351,1.2409075128258125,7.006358676241718,-1.1914799128821203,2.2838690175305563,0.2640759470555755,2.2149549220611306
14,Rd2.3_P1+2_WT_20210723,P17,Ionis676630_3_P2.3-2,Ionis676630_3uM_P2.3-2,6.574720074107301,0.4484457180512677,0.732831936501542,7.006358676241718,-0.4316386021344174,1.3487646239012896,0.17150396749397867,1.908575592246261
15,Rd2.3_P1+2_WT_20210723,N23,KQ105_3_P2.3-2,KQ105_L20_5-10-5_3uM_P2.3-2,8.3169462691089,2.190671913052867,0.21904938768114102,7.006358676241718,1.310587592867182,0.40315664516749716,0.18435620943163433,1.8539792627006102
16,Rd2.3_P1+2_WT_20210723,K23,KQ104_3_P2.3-2,KQ104_L20_5-10-5_3uM_P2.3-2,7.577036779756298,1.4507624237002652,0.3658280430743241,7.006358676241718,0.57067810351458,0.6733002457360117,0.06522342489306246,1.9593695651222887
17,Rd2.3_P1+2_WT_20210723,I12,KQ928_3_P2.3-2,KQ928_L20_5-10-5_3uM_P2.3-2,7.305371891232198,1.1790975351761652,0.44162766794871966,7.006358676241718,0.29901321499048006,0.8128081566816449,0.10792544508613312,1.8426318256361884
18,Rd2.3_P1+2_WT_20210723,K15,KQ280_10_P2.3-2,KQ280_L20_5-10-5_10uM_P2.3-2,6.549396744408497,0.4231223883524642,0.745808741363544,7.006358676241718,-0.456961931833221,1.3726482109249316,0.24575343809667044,1.842443468119652
19,Rd2.3_P1+2_WT_20210723,I9,KQ973_3_P2.3-2,KQ973_L20_5-10-5_3uM_P2.3-2,7.621059298868701,1.494784942812668,0.35483372885301834,7.006358676241718,0.6147006226269829,0.6530653987715865,0.08494742553855467,1.8382478598148502
20,Rd2.3_P3+4_MT_20210726,H2,Naive_P2.3-3,Naive_P2.3-3,6.885795772016898,0.5181256091581155,0.6982784675296538,6.982289767479767,-0.0964939954628683,1.0691720254038442,0.1483803539544521,2.0674334034709787
21,Rd2.3_P3+4_MT_20210726,H8,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,10.188212691876796,3.820542529018013,0.07077862135114622,6.982289767479767,3.2059229243970293,0.10837298508289331,0.027868498053038076,1.8280977209118325
22,Rd2.3_P3+4_MT_20210726,H14,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,6.774234685805098,0.406564522946315,0.7544177247358478,6.982289767479767,-0.20805508167466868,1.1551298862328618,0.1271612254332489,1.8095863882635481
23,Rd2.3_P3+4_MT_20210726,E6,KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,7.628505718270297,1.2608355554115145,0.4173022037677058,6.982289767479767,0.6462159507905305,0.6389540321732151,0.11613878925581776,1.856839812058597
24,Rd2.3_P3+4_Total_20210726,H3,Naive_P2.3-3,Naive_P2.3-3,4.852143371774698,-0.5276340552756942,1.4415631674605378,6.111831106353108,-1.25968773457841,2.3944390866306127,0.4649475264503356,2.5662976451411628
25,Rd2.3_P3+4_Total_20210726,F23,KQ273_3_P2.3-3,KQ273_L20_5-10-5_3uM_P2.3-3,7.1009831587591,1.7212057317087073,0.30329513637785155,6.111831106353108,0.9891520524059922,0.5037737823222855,0.03369929279189445,1.847887787954397
26,Rd2.3_P3+4_Total_20210726,D10,KQ288_3_P2.3-3,KQ288_L20_5-10-5_3uM_P2.3-3,6.376329366211103,0.9965519391607104,0.5011964360042467,6.111831106353108,0.26449825985799524,0.8324882069251245,0.07313751332279828,1.807178178714276
27,Rd2.3_P3+4_WT_20210726,H13,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,7.520287860889798,1.1837369558094224,0.4402097621797133,7.047127935966508,0.47315992492328984,0.7203850142263533,0.11249849526660609,1.919646111873835
28,Rd2.3_P3+4_WT_20210726,B3,KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,7.4609345552701,1.1243836501897242,0.458697945203965,7.047127935966508,0.41380661930359164,0.7506401587851597,0.1405824936279352,1.9173040073744068
29,Rd2.3_P3+4_WT_20210726,C13,KQJM101_10_P2.3-3,KQJM101_L21_7-08-6_10uM_P2.3-3,7.6939016690981,1.357350764017724,0.39029834110589107,7.047127935966508,0.6467737331315915,0.6387070441552481,0.106417305001233,1.9266825747640812
30,Rd2.3_P3+4_WT_20210726,D6,KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,7.656615246490901,1.320064341410525,0.4005170761089788,7.047127935966508,0.6094873105243925,0.6554295800756792,0.04308530204806116,1.9260103777416673
31,Rd2.3_P3+4_MT_20210726,P15,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,6.259266641884903,-0.1075839049396805,1.0774223553319526,7.0380986192977915,-0.7788319774128887,1.7157412264782965,0.48231994910329806,1.9853342392749593
32,Rd2.3_P3+4_MT_20210726,J7,KQ455_3_P2.3-4,KQ455_L20_5-10-5_3uM_P2.3-4,7.188814830903301,0.8219642840787174,0.5656712352273968,7.0380986192977915,0.1507162116055092,0.9008031568210063,0.06497338071865572,1.8571199412862942
33,Rd2.3_P3+4_MT_20210726,I3,KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,6.6663640467489,0.2995134999243163,0.8125263471746009,7.0380986192977915,-0.37173457254889186,1.2939075790921046,0.1900393142160048,1.9758743769708738
34,Rd2.3_P3+4_MT_20210726,I7,KQJM008_3_P2.3-4,KQJM008_L20_6-08-6_3uM_P2.3-4,7.342168171802001,0.9753176249774178,0.5086278537791649,7.0380986192977915,0.30406955250420964,0.8099644242069011,0.08873666018238681,1.8456866363432105
35,Rd2.3_P3+4_Total_20210726,P15,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,5.990703488112601,-0.0579547274381075,1.0409889303677997,6.752162879766242,-0.7614593916536414,1.6952045812225875,0.5620646005841153,1.9671295591903768
36,Rd2.3_P3+4_WT_20210726,O3,Naive_P2.3-4,Naive_P2.3-4,8.7621846138669,2.1347090070678654,0.22771338376763087,7.392937556033093,1.3692470578338067,0.3870932195271505,1.4926950939222663,2.174539431298633
37,Rd2.3_P3+4_WT_20210726,O9,Ionis1375651_10_P2.3-4,Ionis1375651_10uM_P2.3-4,9.027287936873602,2.3998123300745675,0.18948921851385747,7.392937556033093,1.6343503808405089,0.32211541740147565,0.10062090056440304,1.8123151582780828
38,Rd2.3_P3+4_WT_20210726,P13,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,7.072914145838997,0.4454385390399622,0.7343610574364519,7.392937556033093,-0.3200234101940964,1.2483508053638033,0.29288004815706264,1.8382707377146739
39,Rd2.3_P3+4_WT_20210726,M4,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.112566182334998,1.4850905755359634,0.357226106798435,7.392937556033093,0.7196286263019047,0.6072537392921221,0.10561235031452203,1.9083088427180608
40,Rd2.3_P5+6_MT_20210726,D8,KQ993_3_P2.3-5,KQ993_L20_5-10-5_3uM_P2.3-5,8.685425328321397,2.16552601008003,0.22290084485370099,7.187289604373217,1.49813572394818,0.354010553852251,0.07511693318547384,1.9202389725946656
41,Rd2.3_P5+6_MT_20210726,F2,KQJM156_10_P2.3-5,KQJM156_L18_5-08-5_10uM_P2.3-5,9.305266143257995,2.785366825016628,0.14505110337477808,7.187289604373217,2.117976538884778,0.23036979279413758,0.20123999942276694,1.9150519478240489
42,Rd2.3_P5+6_MT_20210726,A17,KQ484_10_P2.3-5,KQ484_L20_5-10-5_10uM_P2.3-5,7.8057959447261,1.285896626484733,0.4101158406007888,7.187289604373217,0.6185063403528828,0.6513449330798089,0.09192251969717367,1.8815417001961794
43,Rd2.3_P5+6_MT_20210726,C18,KQJM172_10_P2.3-5,KQJM172_L19_5-10-4_10uM_P2.3-5,9.322090281708505,2.8021909634671376,0.14336939956858008,7.187289604373217,2.1348006773352877,0.22769891509406273,0.02328195672729119,1.904108944663845
44,Rd2.3_P5+6_MT_20210726,E17,KQJM173_10_P2.3-5,KQJM173_L17_5-08-4_10uM_P2.3-5,7.2139237816152,0.6940244633738333,0.6181271489634864,7.187289604373217,0.02663417724198336,0.9817079630151225,0.0702938031452524,1.896140646671658
45,Rd2.3_P5+6_MT_20210726,C8,KQ2021_3_P2.3-5,KQ2021_L21_6-10-5_3uM_P2.3-5,8.0924482325138,1.5725489142724325,0.3362138556883239,7.187289604373217,0.9051586281405823,0.5339739889417835,0.02985202019778361,2.0165103278118948
46,Rd2.3_P5+6_Total_20210726,H3,Naive_P2.3-5,Naive_P2.3-5,5.5294117395614,-0.0916079507858915,1.06555713390555,6.362975524173109,-0.8335637846117088,1.7820820773742132,0.0395957435165211,1.8428069295666087
47,Rd2.3_P5+6_Total_20210726,G17,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,6.014370789139001,0.393351098791709,0.7613590605740221,6.362975524173109,-0.34860473503410816,1.2733285650506458,0.23999775757715042,1.9223125591605117
48,Rd2.3_P5+6_Total_20210726,A10,KQ484_3_P2.3-5,KQ484_L20_5-10-5_3uM_P2.3-5,6.777579320548501,1.156559630201209,0.44858098428161225,6.362975524173109,0.4146037963753919,0.7502254988515742,0.08269205344983716,1.8604160643899899
49,Rd2.3_P5+6_Total_20210726,F23,KQJM064_3_P2.3-5,KQJM064_L19_6-08-5_3uM_P2.3-5,6.9753591363915,1.3543394460442082,0.39111385639985985,6.362975524173109,0.612383612218391,0.6541150835790689,0.0351761215643362,1.839358162687217
50,Rd2.3_P5+6_Total_20210726,C2,KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,8.460022504011999,2.839002813664707,0.1397574588037649,6.362975524173109,2.0970469798388898,0.23373618794206366,0.05805943339398296,1.8013943279890618
51,Rd2.3_P5+6_Total_20210726,A2,KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,8.132523828141203,2.511504137793911,0.17537267252315536,6.362975524173109,1.7695483039680937,0.2933005529410068,0.18207254982692433,2.0180138039932514
