Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range,Exp t_stat,Exp p_value,Exp dof
ASO1-24_WT_20210611,ASO2_3,KQ380_3,0.240709923,0.803356276,1,0.9227031533333333,0.6257048369189375,1.251409673837875,1.8826668902693393,0.14786469672343738,3.299930403241776
ASO1-24_WT_20210611,ASO2_3,KQ380_3,0.422525233,0.894715575,1,,,,,,
ASO1-24_WT_20210611,ASO2_3,KQ380_3,1.695299201,1.070037609,1,,,,,,
ASO1-24_WT_20210611,ASO2_3,KQ380_3,0.839291774,0.72090284,1,0.7503240073333334,-0.6257048369189375,,,,
ASO1-24_WT_20210611,ASO2_3,KQ380_3,0.049658363,0.843353919,1,,,,,,
ASO1-24_WT_20210611,ASO2_3,KQ380_3,1.0874811,0.686715263,1,,,,,,
ASO1-24_total_20210611,ASO3_10,KQ379_10,0.964803727,0.588152228,1,0.6752816493333333,-0.8996809115790044,1.7993618231580095,-11.637256211747356,0.0012616541128658045,3.049557200765086
ASO1-24_total_20210611,ASO3_10,KQ379_10,0.754601506,0.869386964,1,,,,,,
ASO1-24_total_20210611,ASO3_10,KQ379_10,0.979637502,0.568305756,1,,,,,,
ASO1-24_total_20210611,ASO3_10,KQ379_10,1.086322703,3.332404856,1,3.0826922003333337,0.8996809115790051,,,,
ASO1-24_total_20210611,ASO3_10,KQ379_10,0.978857457,3.188624453,1,,,,,,
ASO1-24_total_20210611,ASO3_10,KQ379_10,0.633862574,2.727047292,1,,,,,,
ASO1-24_MT_20210611,ASO3_10,KQ379_10,0.892310905,0.753772694,1,0.7598982420000001,-0.8857064155338313,1.7714128310676625,-8.014090822720586,0.013648631619877232,2.075418937182747
ASO1-24_MT_20210611,ASO3_10,KQ379_10,0.830628939,0.810981632,1,,,,,,
ASO1-24_MT_20210611,ASO3_10,KQ379_10,0.934179402,0.7149404,1,,,,,,
ASO1-24_MT_20210611,ASO3_10,KQ379_10,0.845642168,2.36569358,1,2.402852464,0.8857064155338312,,,,
ASO1-24_MT_20210611,ASO3_10,KQ379_10,1.283435759,2.771739429,1,,,,,,
ASO1-24_MT_20210611,ASO3_10,KQ379_10,0.52804132,2.071124383,1,,,,,,
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.983174123,0.447664716,1,0.5030168216666667,-0.910155391837261,1.8203107836745216,-25.871474604648945,2.541595802169905e-05,3.703941503679248
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.910081387,0.503072921,1,,,,,,
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.837210665,0.558312828,1,,,,,,
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.981793205,1.937215101,1,1.8829098056666667,0.9101553918372606,,,,
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.79899613,1.798645137,1,,,,,,
ASO1-24_WT_20210611,ASO3_10,KQ379_10,0.949676841,1.912869179,1,,,,,,
ASO1-24_total_20210611,ASO3_3,KQ379_3,0.590243504,1.451209712,1,1.3978917243333333,0.06975224072521267,0.13950448145042102,0.15326758026383236,0.8899452584614366,2.441925559057209
ASO1-24_total_20210611,ASO3_3,KQ379_3,0.406991658,1.349055121,1,,,,,,
ASO1-24_total_20210611,ASO3_3,KQ379_3,0.026004874,1.39341034,1,,,,,,
ASO1-24_total_20210611,ASO3_3,KQ379_3,0.248227111,1.365318614,1,1.3836011900000003,-0.06975224072520834,,,,
ASO1-24_total_20210611,ASO3_3,KQ379_3,1.46761233,1.240407456,1,,,,,,
ASO1-24_total_20210611,ASO3_3,KQ379_3,1.506582721,1.5450775,1,,,,,,
ASO1-24_MT_20210611,ASO3_3,KQ379_3,0.227007119,1.230025381,1,1.2071597963333334,-0.10664661641986178,0.21329323283972032,-0.23526199707004375,0.8261670055514178,3.789573397409485
ASO1-24_MT_20210611,ASO3_3,KQ379_3,0.92651826,1.277963496,1,,,,,,
ASO1-24_MT_20210611,ASO3_3,KQ379_3,1.473465222,1.113490512,1,,,,,,
ASO1-24_MT_20210611,ASO3_3,KQ379_3,0.161652795,1.225546592,1,1.2217769696666665,0.10664661641985854,,,,
ASO1-24_MT_20210611,ASO3_3,KQ379_3,1.048749862,1.286340136,1,,,,,,
ASO1-24_MT_20210611,ASO3_3,KQ379_3,0.890462813,1.153444181,1,,,,,,
ASO1-24_WT_20210611,ASO3_3,KQ379_3,0.139779705,0.845485282,1,0.8863014803333332,0.4274933830153762,0.854986766030754,1.0600055121063543,0.35708195925122466,3.4810097722255273
ASO1-24_WT_20210611,ASO3_3,KQ379_3,0.113035889,0.863675765,1,,,,,,
ASO1-24_WT_20210611,ASO3_3,KQ379_3,1.309223963,0.949743394,1,,,,,,
ASO1-24_WT_20210611,ASO3_3,KQ379_3,0.519134489,0.892895203,1,0.8247838266666667,-0.42749338301537776,,,,
ASO1-24_WT_20210611,ASO3_3,KQ379_3,1.725794855,0.731368977,1,,,,,,
ASO1-24_WT_20210611,ASO3_3,KQ379_3,0.075819781,0.8500873,1,,,,,,
ASO1-24_total_20210611,ASO4_10,KQ378_10,0.596426068,0.488236262,1,0.42205996333333334,-0.8585917442574256,1.717183488514851,-5.537758881608847,0.005845911665295133,3.8421938731755896
ASO1-24_total_20210611,ASO4_10,KQ378_10,0.737777401,0.452556122,1,,,,,,
ASO1-24_total_20210611,ASO4_10,KQ378_10,1.241571763,0.325387506,1,,,,,,
ASO1-24_total_20210611,ASO4_10,KQ378_10,0.958139,0.880642178,1,0.8555142933333334,0.8585917442574253,,,,
ASO1-24_total_20210611,ASO4_10,KQ378_10,1.21628356,0.94580346,1,,,,,,
ASO1-24_total_20210611,ASO4_10,KQ378_10,0.401352672,0.740097242,1,,,,,,
ASO1-24_MT_20210611,ASO4_10,KQ378_10,1.002114614,0.730589197,1,0.6008727556666668,-0.41190273045862885,0.8238054609172565,-1.0112272060170027,0.38323172285561985,3.1466604610268476
ASO1-24_MT_20210611,ASO4_10,KQ378_10,1.23864969,0.525030211,1,,,,,,
ASO1-24_MT_20210611,ASO4_10,KQ378_10,0.999173115,0.546998859,1,,,,,,
ASO1-24_MT_20210611,ASO4_10,KQ378_10,0.711082598,0.703891054,1,0.6764454586666666,0.4119027304586277,,,,
ASO1-24_MT_20210611,ASO4_10,KQ378_10,0.377965215,0.603986051,1,,,,,,
ASO1-24_MT_20210611,ASO4_10,KQ378_10,0.902590809,0.721459271,1,,,,,,
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.994872256,0.495805598,1,0.5340102993333333,-0.13414082440898428,0.26828164881796607,-0.29711303529990407,0.7823469541375282,3.689682783399907
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.714738326,0.508239712,1,,,,,,
ASO1-24_WT_20210611,ASO4_10,KQ378_10,1.307188115,0.597985588,1,,,,,,
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.262903395,0.551633632,1,0.5459183346666666,0.13414082440898178,,,,
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.994904543,0.584124469,1,,,,,,
ASO1-24_WT_20210611,ASO4_10,KQ378_10,0.855385472,0.501996903,1,,,,,,
ASO1-24_total_20210611,ASO4_3,KQ378_3,1.244730645,1.425935383,1,1.3346507373333332,0.8864569588621536,1.7729139177243094,8.132342313168607,0.009866701837874121,2.28389420378531
