,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
2077,Rd2.3_P3+4_WT_20210726,I17,KQ995_10_P2.3-4,KQ995_L20_5-10-5_10uM_P2.3-4,7.307623369347702,0.6801477625486676,0.6241013499718092,0.07183766451526853,0.12342157312332509
2078,Rd2.3_P3+4_WT_20210726,I18,KQ995_10_P2.3-4,KQ995_L20_5-10-5_10uM_P2.3-4,7.602691814254097,0.9752162074550624,0.5086636101853429,0.07183766451526853,1.3676330545050057
2079,Rd2.3_P3+4_WT_20210726,I10,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,7.5258952497866005,0.8984196429875659,0.5364740739500339,0.09721317806494792,1.2108576079869393
2080,Rd2.3_P3+4_WT_20210726,I11,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,7.084138511958898,0.4566629051598632,0.7286697953756021,0.09721317806494792,0.4872665957753988
2081,Rd2.3_P3+4_WT_20210726,I12,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,7.347375699213302,0.7199000924142673,0.6071394855526582,0.09721317806494792,0.9448118483278705
2082,Rd2.3_P3+4_WT_20210726,I22,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,6.462054495486299,-0.1654211113127353,1.121493385337803,0.0515575936786729,0.9916613271409261
2083,Rd2.3_P3+4_WT_20210726,I23,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,6.4611100587686,-0.1663655480304342,1.1222277930017128,0.0515575936786729,0.9944262731083117
2084,Rd2.3_P3+4_WT_20210726,I24,KQ995_3_P2.3-4,KQ995_L20_5-10-5_3uM_P2.3-4,6.5812465222516,-0.0462290845474342,1.0325624823486008,0.0515575936786729,0.6568484518409736
2085,Rd2.3_P3+4_WT_20210726,N4,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.309907714548299,1.682432107749264,0.31155696883518635,0.028008777538364612,0.06701653836599215
2086,Rd2.3_P3+4_WT_20210726,N5,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.098604733268001,1.4711291264689663,0.3606998863149759,0.028008777538364612,1.3440499286566143
2087,Rd2.3_P3+4_WT_20210726,N6,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.3039642807624,1.676488673963366,0.31284312955762517,0.028008777538364612,0.10043885580390478
2088,Rd2.3_P3+4_WT_20210726,N16,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.585940058915803,1.958464452116768,0.2573021732892086,0.04230756675946585,1.3428546912796353
2089,Rd2.3_P3+4_WT_20210726,N17,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.495318789154002,1.8678431823549675,0.27398272128737916,0.04230756675946585,0.9093920916940562
2090,Rd2.3_P3+4_WT_20210726,N18,KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,8.194587528893898,1.5671119220948633,0.3374833138210726,0.04230756675946585,0.7407414601471802
2091,Rd2.3_P3+4_WT_20210726,N10,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,7.8647714657447025,1.237295858945668,0.42416695640605867,0.0275406999974159,0.6398805871180595
2092,Rd2.3_P3+4_WT_20210726,N11,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,8.021984411536199,1.394508804737164,0.3803741724933445,0.0275406999974159,0.9005929929758163
2093,Rd2.3_P3+4_WT_20210726,N12,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,8.0489227601763,1.4214471533772652,0.37333763291963123,0.0275406999974159,0.942483756642099
2094,Rd2.3_P3+4_WT_20210726,N22,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,7.206983815369998,0.5795082085709637,0.6691918552077727,0.10861172747183453,0.8188307610568607
2095,Rd2.3_P3+4_WT_20210726,N23,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,7.456754653512803,0.8292790467137685,0.5628104234985425,0.10861172747183453,0.18550817862441824
2096,Rd2.3_P3+4_WT_20210726,N24,KQ955_3_P2.3-4,KQ955_L20_5-10-5_3uM_P2.3-4,6.985894961832301,0.3584193550332664,0.7800187154658077,0.10861172747183453,1.478618397054696
2097,Rd2.3_P3+4_WT_20210726,M5,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.6041478687544,1.9766722619553647,0.25407524764521827,0.06212804679748576,0.6746813049888354
2098,Rd2.3_P3+4_WT_20210726,M6,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.652776289575197,2.0253006827761624,0.24565394573938096,0.06212804679748576,0.8855582674514864
2099,Rd2.3_P3+4_WT_20210726,M16,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.4506590286075,1.8231834218084657,0.2825967106290545,0.00791497604285432,0.039521741793432055
2100,Rd2.3_P3+4_WT_20210726,M17,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.468698228653402,1.8412226218543672,0.2790851716206663,0.00791497604285432,0.048410348510173305
2101,Rd2.3_P3+4_WT_20210726,M18,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.5300085203037,1.9025329135046647,0.267473355044296,0.00791497604285432,0.3391806635609993
