,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
33,Experiment_40_WT,KQ280_10uM,KQ280_10uM,7.308,6.7795,0.5285,0.693275172,0.03445689625421954,-0.7071067811865476
34,Experiment_40_WT,KQ280_10uM,KQ280_10uM,7.011,6.5805,0.4305,0.742004582,0.03445689625421954,0.7071067811865476
35,Experiment_40_MT,KQ280_10uM,KQ280_10uM,8.901,7.537,1.364,0.388503634,0.021487106197036487,0.7071067811865469
36,Experiment_40_WT,KQ288_10uM,KQ288_10uM,7.313,6.5805,0.7325,0.601860066,0.031178063323060983,-0.7071067811865476
37,Experiment_40_WT,KQ288_10uM,KQ288_10uM,7.41,6.7795,0.6305,0.645952506,0.031178063323060983,0.7071067811865476
38,Experiment_40_MT,KQ288_10uM,KQ288_10uM,7.681,6.8025,0.8785,0.543932675,0.002789108452178305,0.7071067811865475
39,Experiment_40_MT,KQ288_10uM,KQ288_10uM,8.426,7.537,0.889,0.53998828,0.002789108452178305,-0.7071067811865475
40,Experiment_39,KQ332-5PD_10uM,KQ332-5PD_10uM,7.473,5.802,1.671,0.314035595,0.07901576181498929,0.7071067811865481
41,Experiment_39,KQ332-5PD_10uM,KQ332-5PD_10uM,7.987,5.6815,2.3055,0.202290433,0.07901576181498929,-0.7071067811865474
42,Experiment_39,KQ332-5PD_1uM,KQ332-5PD_1uM,7.327,5.802,1.525,0.347479555,0.07326647598127378,-0.7071067811865481
43,Experiment_39,KQ332-5PD_1uM,KQ332-5PD_1uM,6.83,5.6815,1.1485,0.451093999,0.07326647598127378,0.7071067811865474
44,Experiment_39,KQ332-5PD_3uM,KQ332-5PD_3uM,7.482,5.802,1.68,0.312082637,0.01723626024282831,-0.7071067811865499
45,Experiment_39,KQ332-5PD_3uM,KQ332-5PD_3uM,7.253,5.6815,1.5715,0.33645839,0.01723626024282831,0.7071067811865467
46,Experiment_40_MT,KQ332_10uM,KQ332_10uM,8.847,7.537,1.31,0.40332088,0.042952442697600596,0.7071067811865476
47,Experiment_37_MT,KQ332_10uM,KQ332_10uM,9.849,6.9915,2.8575,0.137977028,,
48,Experiment_40_WT,KQ332_10uM,KQ332_10uM,7.363,6.5805,0.7825,0.581358502,0.16546252929956476,0.7071067811865475
49,Experiment_40_WT,KQ332_10uM,KQ332_10uM,8.305,6.7795,1.5255,0.347359149,0.16546252929956476,-0.7071067811865475
50,Experiment_37_WT,KQ332_10uM,KQ332_10uM,8.794,7.0355,1.7585,0.295555301,,
51,Experiment_40_MT,KQ332_10uM,KQ332_10uM,8.348,6.8025,1.5455,0.342576953,0.042952442697600596,-0.7071067811865476
52,Experiment_40_MT,KQ371_10uM,KQ371_10uM,9.214,7.537,1.677,0.31273227,0.030683022108192938,0.7071067811865476
53,Experiment_40_WT,KQ371_10uM,KQ371_10uM,7.594,6.5805,1.0135,0.495343079,0.014874076702179525,-0.7071067811865503
54,Experiment_40_WT,KQ371_10uM,KQ371_10uM,7.733,6.7795,0.9535,0.5163782,0.014874076702179525,0.7071067811865466
55,Experiment_40_MT,KQ371_10uM,KQ371_10uM,8.695,6.8025,1.8925,0.269339924,0.030683022108192938,-0.7071067811865476
56,Experiment_40_MT,KQ372_10uM,KQ372_10uM,9.141,7.537,1.604,0.328963631,0.009088669732760696,0.7071067811865429
57,Experiment_40_WT,KQ372_10uM,KQ372_10uM,7.268,6.7795,0.4885,0.71276579,0.047244126189742636,0.7071067811865476
58,Experiment_40_WT,KQ372_10uM,KQ372_10uM,7.211,6.5805,0.6305,0.645952506,0.047244126189742636,-0.7071067811865476
59,Experiment_40_MT,KQ372_10uM,KQ372_10uM,8.464,6.8025,1.6615,0.316110311,0.009088669732760696,-0.707106781186549
60,Experiment_40_WT,KQ373_10uM,KQ373_10uM,8.374,6.7795,1.5945,0.331136971,0.0350581852127083,0.7071067811865488
61,Experiment_40_MT,KQ373_10uM,KQ373_10uM,9.161,6.8025,2.3585,0.194993779,0.03247753466805092,0.7071067811865476
62,Experiment_40_MT,KQ373_10uM,KQ373_10uM,10.283,7.537,2.746,0.149063609,0.03247753466805092,-0.7071067811865476
63,Experiment_40_WT,KQ373_10uM,KQ373_10uM,8.409,6.5805,1.8285,0.28155721,0.0350581852127083,-0.7071067811865471
64,Experiment_40_MT,KQ426_10uM,KQ426_10uM,8.348,7.537,0.811,0.569986636,0.09436602755814366,-0.7071067811865475
65,Experiment_40_WT,KQ426_10uM,KQ426_10uM,7.488,6.5805,0.9075,0.533108097,0.2295022078952273,-0.7071067811865476
66,Experiment_40_MT,KQ426_10uM,KQ426_10uM,7.31,6.8025,0.5075,0.703440352,0.09436602755814366,0.7071067811865475
67,Experiment_40_WT,KQ426_10uM,KQ426_10uM,7.001,6.7795,0.2215,0.857673232,0.2295022078952273,0.7071067811865476
68,Experiment_40_MT,KQ479_10uM,KQ479_10uM,7.958,6.8025,1.1555,0.448910579,0.04910147508660404,-0.7071067811865475
69,Experiment_40_MT,KQ479_10uM,KQ479_10uM,8.485,7.537,0.948,0.518350551,0.04910147508660404,0.7071067811865475
70,Experiment_40_WT,KQ479_10uM,KQ479_10uM,6.922,6.5805,0.3415,0.789220316,0.08058707824068609,0.7071067811865475
71,Experiment_40_WT,KQ479_10uM,KQ479_10uM,7.346,6.7795,0.5665,0.675252977,0.08058707824068609,-0.7071067811865475
72,Experiment_40_WT,KQ480_10uM,KQ480_10uM,7.016,6.5805,0.4355,0.739437441,0.06164985354383041,0.7071067811865476
73,Experiment_40_MT,KQ480_10uM,KQ480_10uM,7.999,6.8025,1.1965,0.436332548,0.0394278944026204,-0.7071067811865475
74,Experiment_40_WT,KQ480_10uM,KQ480_10uM,7.396,6.7795,0.6165,0.652251382,0.06164985354383041,-0.7071067811865476
75,Experiment_40_MT,KQ480_10uM,KQ480_10uM,8.56,7.537,1.023,0.492092011,0.0394278944026204,0.7071067811865475
76,Experiment_40_WT,KQ500_10uM,KQ500_10uM,7.348,6.5805,0.7675,0.58743454,0.040758902002944505,0.7071067811865455
77,Experiment_40_MT,KQ500_10uM,KQ500_10uM,9.542,7.537,2.005,0.249135066,0.033915149929347375,0.7071067811865476
78,Experiment_40_MT,KQ500_10uM,KQ500_10uM,9.116,6.8025,2.3135,0.201171801,0.033915149929347375,-0.7071067811865476
79,Experiment_40_WT,KQ500_10uM,KQ500_10uM,7.696,6.7795,0.9165,0.529792748,0.040758902002944505,-0.7071067811865481
80,Experiment_40_MT,KQ501_10uM,KQ501_10uM,8.29,6.8025,1.4875,0.356630006,0.02064047381289299,-0.7071067811865476
81,Experiment_40_MT,KQ501_10uM,KQ501_10uM,8.911,7.537,1.374,0.385820044,0.02064047381289299,0.7071067811865476
82,Experiment_40_WT,KQ501_10uM,KQ501_10uM,7.288,6.7795,0.5085,0.702952933,0.0071828868498151795,0.707106781186536
83,Experiment_40_WT,KQ501_10uM,KQ501_10uM,7.11,6.5805,0.5295,0.692794797,0.0071828868498151795,-0.7071067811865515
84,Experiment_40_WT,KQ830_10uM,KQ830_10uM,6.593,6.5805,0.0125,0.991373087,0.006769710215432316,0.7071067811865475
