Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_zscore,Avg Exp_zscore,Avg_naive,Test plate #,Avg_plate,Min_plate,Max_plate,outliers removed by Exp_zscore: 375 greater than 1.8
ASO1-24_total_20210611,F18,ASO12_10,KQ279_10,7.470164845,1.337454071,0.395718366,6.701936805,0.76822804,0.587138172,0.521065773,,,1,,,,
ASO1-24_MT_20210611,F13,ASO12_10,KQ279_10,7.651258007,1.087661487,0.470523444,6.923016948,0.728241059,0.603639426,1.210730667,0.787873212,,1,,,,
ASO1-24_MT_20210611,F14,ASO12_10,KQ279_10,7.725226881,1.161630361,0.447007096,6.923016948,0.802209933,0.573470058,1.034537354,,,1,,,,
ASO1-24_MT_20210611,F15,ASO12_10,KQ279_10,8.333973456,1.770376936,0.29313214,6.923016948,1.410956508,0.376062275,0.118351616,,,1,,,,
ASO1-24_MT_20210611,F16,ASO12_10,KQ279_10,8.255637144,1.692040624,0.309488858,6.923016948,1.332620196,0.397046478,0.004199058,0.711771507,,1,,,,
ASO1-24_MT_20210611,F17,ASO12_10,KQ279_10,8.838403791,2.274807272,0.206640183,6.923016948,1.915386844,0.265100842,0.76638185,,,1,,,,
ASO1-24_MT_20210611,F18,ASO12_10,KQ279_10,9.543211535,2.979615015,0.126778762,6.923016948,2.620194587,0.162645793,1.364733614,,,1,,,,
ASO1-24_WT_20210611,F13,ASO12_10,KQ279_10,7.325827299,0.424883346,0.74489896,6.689220702,0.636606596,0.643224117,1.455412595,0.842249789,,1,,,,
ASO1-24_WT_20210611,F14,ASO12_10,KQ279_10,7.586640149,0.685696196,0.62170574,6.689220702,0.897419446,0.536846132,0.367647425,,,1,,,,
ASO1-24_WT_20210611,F15,ASO12_10,KQ279_10,7.500922718,0.599978766,0.659763666,6.689220702,0.811702016,0.569709348,0.703689346,,,1,,,,
ASO1-24_WT_20210611,F16,ASO12_10,KQ279_10,7.9108209,1.009876947,0.496588602,6.689220702,1.221600198,0.428806834,0.737105456,0.842249789,,1,,,,
ASO1-24_WT_20210611,F17,ASO12_10,KQ279_10,7.886917943,0.985973991,0.504884751,6.689220702,1.197697241,0.435970601,0.663852544,,,1,,,,
ASO1-24_WT_20210611,F18,ASO12_10,KQ279_10,8.044735686,1.143791733,0.452568559,6.689220702,1.355514983,0.390795299,1.125791366,,,1,,,,
ASO1-24_total_20210611,F19,ASO12_3,KQ279_3,6.510471249,0.377760475,0.769631379,6.701936805,-0.191465557,1.141923146,0.772586792,0.878950749,,1,,,,
ASO1-24_total_20210611,F20,ASO12_3,KQ279_3,6.510897948,0.378187174,0.769403782,6.701936805,-0.191038858,1.141585454,0.773153102,,,1,,,,
ASO1-24_total_20210611,F21,ASO12_3,KQ279_3,6.772924614,0.64021384,0.641617839,6.701936805,0.070987809,0.951985953,1.091112352,,,1,,,,
ASO1-24_total_20210611,F22,ASO12_3,KQ279_3,5.796988349,-0.335722425,1.262009197,6.701936805,-0.904948456,1.872477595,0.452556433,0.878950749,,1,,,,
ASO1-24_total_20210611,F23,ASO12_3,KQ279_3,5.572354308,-0.560356466,1.47463353,6.701936805,-1.129582497,2.187954137,0.981612069,,,1,,,,
ASO1-24_total_20210611,F24,ASO12_3,KQ279_3,5.487949153,-0.644761621,1.563480928,6.701936805,-1.213987653,2.319779455,1.202683743,,,1,,,,
ASO1-24_MT_20210611,F19,ASO12_3,KQ279_3,7.23154176,0.66794524,0.629402476,6.923016948,0.308524812,0.80746699,0.792604264,0.87293503,,1,,,,
ASO1-24_MT_20210611,F20,ASO12_3,KQ279_3,7.175378341,0.611781822,0.654387991,6.923016948,0.252361394,0.839521167,0.68964734,,,1,,,,
ASO1-24_MT_20210611,F21,ASO12_3,KQ279_3,7.436800397,0.873203877,0.545933118,6.923016948,0.513783449,0.700383281,1.136553486,,,1,,,,
ASO1-24_MT_20210611,F22,ASO12_3,KQ279_3,6.445399297,-0.118197223,1.085377738,6.923016948,-0.477617651,1.392442401,1.086316806,0.87293503,,1,,,,
ASO1-24_MT_20210611,F23,ASO12_3,KQ279_3,6.680928169,0.117331649,0.921891168,6.923016948,-0.242088779,1.182703778,0.412643501,,,1,,,,
ASO1-24_MT_20210611,F24,ASO12_3,KQ279_3,6.434624454,-0.128972066,1.093514284,6.923016948,-0.488392494,1.402880861,1.119844783,,,1,,,,
ASO1-24_WT_20210611,F19,ASO12_3,KQ279_3,7.149550966,0.248607013,0.841708731,6.689220702,0.460330263,0.726819855,1.170449543,0.902234661,,1,,,,
ASO1-24_WT_20210611,F20,ASO12_3,KQ279_3,6.916725902,0.015781949,0.989120402,6.689220702,0.227505199,0.854110598,0.811976104,,,1,,,,
ASO1-24_WT_20210611,F21,ASO12_3,KQ279_3,6.865061741,-0.035882211,1.025183533,6.689220702,0.175841039,0.885251299,0.724278335,,,1,,,,
ASO1-24_WT_20210611,F22,ASO12_3,KQ279_3,6.12258058,-0.778363373,1.715184024,6.689220702,-0.566640123,1.481070302,0.953654263,0.902234661,,1,,,,
ASO1-24_WT_20210611,F23,ASO12_3,KQ279_3,6.146833613,-0.75411034,1.686591209,6.689220702,-0.542387089,1.456380258,0.884122695,,,1,,,,
ASO1-24_WT_20210611,F24,ASO12_3,KQ279_3,6.152188684,-0.748755269,1.680342436,6.689220702,-0.537032019,1.45098441,0.868927024,,,1,,,,
ASO1-24_total_20210611,A1,ASO1_10,KQ972_10,8.017837324,1.88512655,0.270720013,6.701936805,1.315900518,0.401674695,0.245887124,0.348794396,,1,,,,
ASO1-24_total_20210611,A2,ASO1_10,KQ972_10,8.11056477,1.977853996,0.253867216,6.701936805,1.408627965,0.376669738,0.526399657,,,1,,,,
ASO1-24_total_20210611,A3,ASO1_10,KQ972_10,7.860281937,1.727571164,0.301959891,6.701936805,1.158345132,0.448026157,0.274096406,,,1,,,,
ASO1-24_total_20210611,A4,ASO1_10,KQ972_10,7.456670088,1.323959314,0.399437223,6.701936805,0.754733283,,1.896593377,1.098332126,,1,,,,
ASO1-24_total_20210611,A5,ASO1_10,KQ972_10,8.142951124,2.01024035,0.248231766,6.701936805,1.441014318,0.368308266,0.620200962,,,1,,,,
ASO1-24_total_20210611,A6,ASO1_10,KQ972_10,8.199202893,2.066492119,0.238739284,6.701936805,1.497266088,0.354224011,0.778202038,,,1,,,,
ASO1-24_MT_20210611,A1,ASO1_10,KQ972_10,7.535354848,0.971758328,0.509884247,6.923016948,0.6123379,0.65413581,0.382198504,1.01685639,,1,,,,
ASO1-24_MT_20210611,A2,ASO1_10,KQ972_10,7.124531779,0.560935259,0.677862582,6.923016948,0.201514831,0.869636964,1.63530331,,,1,,,,
ASO1-24_MT_20210611,A3,ASO1_10,KQ972_10,8.206694273,1.643097753,0.320168271,6.923016948,1.283677325,0.410747208,1.033067355,,,1,,,,
ASO1-24_MT_20210611,A4,ASO1_10,KQ972_10,8.137035304,1.573438785,0.336006539,6.923016948,1.214018357,0.431066288,0.914915152,0.551274614,,1,,,,
ASO1-24_MT_20210611,A5,ASO1_10,KQ972_10,7.869506609,1.305910089,0.40446588,6.923016948,0.946489661,0.518893489,0.404213997,,,1,,,,
ASO1-24_MT_20210611,A6,ASO1_10,KQ972_10,7.553485918,0.989889398,0.503516375,6.923016948,0.63046897,0.6459664,0.334694691,,,1,,,,
ASO1-24_WT_20210611,A1,ASO1_10,KQ972_10,8.356820311,1.455876358,0.364533585,6.689220702,1.667599609,0.314776641,1.712331816,0.84707049,,1,,,,
ASO1-24_WT_20210611,A2,ASO1_10,KQ972_10,7.955668874,1.054724921,0.481388999,6.689220702,1.266448171,0.415681898,0.093507924,,,1,,,,
ASO1-24_WT_20210611,A3,ASO1_10,KQ972_10,7.83627121,0.935327258,0.522923838,6.689220702,1.147050508,0.451547446,0.735371731,,,1,,,,
ASO1-24_WT_20210611,A4,ASO1_10,KQ972_10,7.75435178,0.853407827,0.553475811,6.689220702,1.065131077,0.477929234,1.20751047,0.510522926,,1,,,,
ASO1-24_WT_20210611,A5,ASO1_10,KQ972_10,7.993596294,1.092652342,0.468898529,6.689220702,1.304375592,0.404896312,0.099515118,,,1,,,,
ASO1-24_WT_20210611,A6,ASO1_10,KQ972_10,8.018706299,1.117762346,0.460807995,6.689220702,1.329485596,0.397910094,0.224543191,,,1,,,,
ASO1-24_total_20210611,A7,ASO1_3,KQ972_3,7.848512004,1.71580123,0.304433446,6.701936805,1.146575198,0.451696238,0.227671431,0.819331754,,1,,,,
ASO1-24_total_20210611,A8,ASO1_3,KQ972_3,7.581445212,1.448734438,0.366342646,6.701936805,0.879508407,0.543552613,1.282072357,,,1,,,,
ASO1-24_total_20210611,A9,ASO1_3,KQ972_3,7.636386103,1.503675329,0.352653844,6.701936805,0.934449298,0.523242163,0.948251472,,,1,,,,
ASO1-24_total_20210611,A10,ASO1_3,KQ972_3,7.783495185,1.650784411,0.318466955,6.701936805,1.08155838,0.47251814,0.114555631,0.74392122,,1,,,,
ASO1-24_total_20210611,A11,ASO1_3,KQ972_3,7.960876958,1.828166184,0.281622365,6.701936805,1.258940153,0.417850813,0.78395203,,,1,,,,
ASO1-24_total_20210611,A12,ASO1_3,KQ972_3,8.08114449,1.948433716,0.259097371,6.701936805,1.379207685,0.384429863,1.333255998,,,1,,,,
ASO1-24_MT_20210611,A7,ASO1_3,KQ972_3,7.36831042,0.8047139,0.572475596,6.923016948,0.445293472,0.734434903,0.656814103,0.890578869,,1,,,,
ASO1-24_MT_20210611,A8,ASO1_3,KQ972_3,7.246845579,0.683249059,0.622761188,6.923016948,0.323828631,0.798946813,1.173833367,,,1,,,,
ASO1-24_MT_20210611,A9,ASO1_3,KQ972_3,7.323836066,0.760239546,0.590398292,6.923016948,0.400819118,0.757428116,0.841089135,,,1,,,,
ASO1-24_MT_20210611,A10,ASO1_3,KQ972_3,7.898633353,1.335036833,0.396381948,6.923016948,0.975616405,0.508522529,1.153720572,0.890578869,,1,,,,
ASO1-24_MT_20210611,A11,ASO1_3,KQ972_3,7.764195135,1.200598616,0.435094711,6.923016948,0.841178188,0.558187535,0.755689184,,,1,,,,
ASO1-24_MT_20210611,A12,ASO1_3,KQ972_3,7.766337362,1.202740842,0.434449128,6.923016948,0.843320414,0.557359309,0.76232685,,,1,,,,
ASO1-24_WT_20210611,A10,ASO1_3,KQ972_3,8.141277935,1.240333983,0.423274657,6.689220702,1.452057233,0.365499862,1.233514914,0.893934199,,1,,,,
ASO1-24_WT_20210611,A11,ASO1_3,KQ972_3,7.971485545,1.070541592,0.476140221,6.689220702,1.282264842,0.411149551,0.700779628,,,1,,,,
ASO1-24_WT_20210611,A12,ASO1_3,KQ972_3,7.9856046,1.084660647,0.471503162,6.689220702,1.296383898,0.407145427,0.747508055,,,1,,,,
ASO1-24_WT_20210611,A7,ASO1_3,KQ972_3,7.565952121,0.665008169,0.630685133,6.689220702,0.876731419,0.544599884,0.856595765,0.893934199,,1,,,,
ASO1-24_WT_20210611,A8,ASO1_3,KQ972_3,7.580711167,0.679767215,0.624265994,6.689220702,0.891490465,0.539056925,0.791909009,,,1,,,,
ASO1-24_WT_20210611,A9,ASO1_3,KQ972_3,7.526388464,0.625444512,0.648220022,6.689220702,0.837167762,0.559741352,1.033297824,,,1,,,,
ASO1-24_total_20210611,B1,ASO2_10,KQ380_10,6.87363426,0.740923486,0.598356215,6.701936805,0.171697454,0.887797497,0.335652044,0.442245864,,1,,,,
ASO1-24_total_20210611,B2,ASO2_10,KQ380_10,6.933759968,0.801049195,0.573931636,6.701936805,0.231823163,0.85155808,0.115630435,,,1,,,,
ASO1-24_total_20210611,B3,ASO2_10,KQ380_10,6.735938149,0.603227376,0.658279705,6.701936805,0.034001344,0.976707619,0.875455114,,,1,,,,
ASO1-24_total_20210611,B4,ASO2_10,KQ380_10,6.815251118,0.682540345,0.623067191,6.701936805,0.113314313,0.924461848,0.558253576,0.85596059,,1,,,,
ASO1-24_total_20210611,B5,ASO2_10,KQ380_10,6.94871369,0.816002916,0.568013484,6.701936805,0.246776884,0.842777157,0.062318512,,,1,,,,
