SampleName,ASO Microsynth ID,Test plate #,Avg Exp,Tier
ASO323_10,KQJM062_L19_5-10-4_10uM_P27,27,1.4182621793333334,
ASO324_3,KQJM065_L19_5-10-4_3uM_P27,27,0.9117583043333334,
ASO326_10,KQJM067_L21_6-10-5_10uM_P28,28,0.9733617379999999,
ASO327_10,KQJM068_L21_7-08-6_10uM_P28,28,1.4273686983333331,
ASO329_3,KQJM075_L19_5-10-4_3uM_P28,28,0.7769490406666666,
ASO32_10,KQ908_10,3,0.666360406,
ASO32_3,KQ908_3,3,1.3624255339999998,
ASO332_3,KQJM078_L19_6-08-5_3uM_P28,28,1.3427701396666667,
ASO333_10,KQJM079_L20_6-08-6_10uM_P28,28,2.071179321666667,
ASO333_3,KQJM079_L20_6-08-6_3uM_P28,28,1.2165756406666668,
ASO335_10,KQJM081_L17_5-08-4_10uM_P28,28,0.9823423,
ASO336_10,KQJM082_L18_4-10-4_10uM_P28,28,1.1363066266666666,
ASO337_3,KQJM083_L18_5-08-5_3uM_P29,29,1.9368406843333332,
ASO338_10,KQJM084_L18_4-10-4_10uM_P29,29,0.7556876866666666,
ASO338_3,KQJM084_L18_4-10-4_3uM_P29,29,0.881276062,
ASO339_10,KQJM085_L18_5-08-5_10uM_P29,29,1.251042363,
ASO339_3,KQJM085_L18_5-08-5_3uM_P29,29,1.704912954,
ASO33_10,KQ907_10,3,0.9718935763333333,
ASO33_3,KQ907_3,3,0.848402772,
ASO340_10,KQJM086_L17_5-08-4_10uM_P29,29,1.1468138239999999,
ASO340_3,KQJM086_L17_5-08-4_3uM_P29,29,1.4273026806666669,
ASO341_10,KQJM087_L18_4-10-4_10uM_P29,29,0.721842068,
ASO341_3,KQJM087_L18_4-10-4_3uM_P29,29,1.0128795163333333,
ASO342_10,KQJM088_L17_4-10-3_10uM_P29,29,0.8716198313333333,
ASO342_3,KQJM088_L17_4-10-3_3uM_P29,29,1.1447767163333333,
ASO343_10,KQJM089_L18_4-10-4_10uM_P29,29,0.6893243889999999,
ASO343_3,KQJM089_L18_4-10-4_3uM_P29,29,0.8329367336666667,
ASO344_10,KQJM090_L17_4-10-3_10uM_P29,29,0.7416968473333333,
ASO344_3,KQJM090_L17_4-10-3_3uM_P29,29,1.173130425,
ASO345_10,KQJM091_L18_4-10-4_10uM_P29,29,0.7882751116666666,
ASO345_3,KQJM091_L18_4-10-4_3uM_P29,29,1.0427743256666668,
ASO346_10,KQJM092_L21_6-10-5_10uM_P29,29,0.6734887366666668,
ASO346_3,KQJM092_L21_6-10-5_3uM_P29,29,0.7714347426666667,
ASO347_10,KQJM093_L17_4-10-3_10uM_P29,29,0.715431764,
ASO348_10,KQJM094_L19_5-10-4_10uM_P29,29,0.5515104803333334,
ASO348_3,KQJM094_L19_5-10-4_3uM_P29,29,0.6753623129999999,
ASO349_10,KQJM095_L21_6-10-5_10uM_P30,30,1.7263937233333333,
ASO349_3,KQJM095_L21_6-10-5_3uM_P30,30,1.5000784903333333,
ASO34_10,KQ906_10,3,1.7049370533333335,
ASO34_3,KQ906_3,3,1.299010481,
